barley	artificial data	e-value	description
11_11002	4_0034	1.00E-148	none
12_11117	4_0035	0	none
12_30913	4_0036	0	none
11_21259	4_0037	2.00E-79	none
12_21506	4_0038	1.00E-119	none
12_31475	4_0039	6.00E-56	none
12_30785	4_0040	4.00E-78	none
11_10601	4_0041	1.00E-157	none
12_30064	4_0042	4.00E-95	none
11_20356	4_0043	0	none
12_10532	4_0044	0	none
11_21101	4_0045	3.00E-53	none
11_21189	4_0046	1.00E-147	none
11_20328	4_0047	1.00E-66	none
12_30737	4_0048	0	none
11_20719	4_0049	0	none
12_31009	4_0050	0	none
12_30609	4_0051	0	none
12_30474	4_0052	5.00E-85	none
12_31122	4_0053	2.00E-95	none
12_11069	4_0054	0	none
12_30467	4_0055	0	none
12_20264	4_0056	1.00E-160	none
12_30721	4_0057	1.00E-147	none
12_11102	4_0058	1.00E-102	none
12_30583	4_0059	1.00E-177	none
12_30922	4_0060	1.00E-167	none
12_30923	4_0061	1.00E-167	none
12_31015	4_0062	1.00E-113	none
12_11387	4_0063	5.00E-69	none
11_11313	4_0064	0	none
12_11511	4_0065	4.00E-78	none
11_21109	4_0066	1.00E-142	none
11_21197	4_0067	7.00E-53	none
12_30680	4_0068	1.00E-105	none
12_10233	4_0069	0	none
11_10380	4_0070	9.00E-43	none
11_11258	4_0071	9.00E-52	none
12_30799	4_0072	7.00E-84	none
11_21129	4_0073	8.00E-86	none
11_20866	4_0074	1.00E-100	none
12_30618	4_0075	1.00E-179	none
11_11086	4_0076	1.00E-111	none
12_31008	4_0077	6.00E-61	none
12_20574	4_0078	3.00E-83	none
12_21475	4_0079	1.00E-102	none
12_11265	4_0080	2.00E-99	none
12_30262	4_0081	4.00E-49	none
11_11502	4_0082	0	none
12_10391	4_0083	0	none
12_11295	4_0084	1.00E-134	none
11_11099	4_0085	0	none
12_21411	4_0086	3.00E-89	none
11_10137	4_0087	0	none
12_11518	4_0088	0	none
11_20970	4_0089	0	none
12_30318	4_0090	2.00E-90	none
12_30130	4_0091	1.00E-179	none
11_10328	4_0092	1.00E-106	none
12_30039	4_0093	0	none
12_31372	4_0094	0	none
12_20591	4_0095	1.00E-146	none
11_11501	4_0096	0	none
12_10784	4_0097	1.00E-132	none
12_10155	4_0098	7.00E-11	none
12_30809	4_0099	1.00E-170	none
11_10365	4_0100	1.00E-52	none
11_10008	4_0101	1.00E-141	none
11_20428	4_0102	0	none
11_20856	4_0103	2.00E-63	none
11_21062	4_0104	1.00E-99	none
11_20796	4_0105	3.00E-76	none
11_10456	4_0106	2.00E-32	none
11_20333	4_0107	1.00E-164	none
11_11124	4_0108	1.00E-155	none
11_20583	4_0109	0	none
12_30126	4_0110	0	none
11_21472	4_0111	2.00E-71	none
11_20288	4_0112	0	none
11_10437	4_0113	1.00E-141	none
11_11283	4_0114	0	none
11_21147	4_0115	8.00E-92	none
11_11337	4_0116	4.00E-77	none
11_20801	4_0117	1.00E-169	none
12_11482	4_0118	0	none
11_20102	4_0119	6.00E-98	none
11_20890	4_0120	1.00E-139	none
11_21435	4_0121	1.00E-159	none
11_11125	4_0122	0	none
12_20721	4_0123	0	none
12_31214	4_0124	9.00E-69	none
11_20002	4_0125	0	none
11_10925	4_0126	1.00E-95	none
11_10620	4_0127	0	none
11_10966	4_0128	0	none
11_20486	4_0129	1.00E-173	none
11_10349	4_0130	2.00E-63	none
11_10224	4_0131	1.00E-118	none
12_31281	4_0132	5.00E-64	none
12_31017	4_0133	7.00E-19	none
11_10926	4_0134	5.00E-26	none
12_31368	4_0135	2.00E-32	none
11_10011	4_0136	4.00E-33	none
11_20439	4_0137	2.00E-62	none
11_11530	4_0138	0	none
11_20444	4_0139	0	none
12_20108	4_0140	0	none
11_11401	4_0141	1.00E-101	none
11_10225	4_0142	1.00E-108	none
12_31393	4_0143	1.00E-104	none
11_20276	4_0144	1.00E-110	none
12_31016	4_0145	6.00E-88	none
11_11016	4_0146	8.00E-86	none
12_30009	4_0147	0	none
11_20995	4_0148	1.00E-136	none
11_21511	4_0149	1.00E-105	none
12_10678	4_0150	0	none
11_20325	4_0151	1.00E-78	none
12_21064	4_0152	1.00E-107	none
12_10850	4_0153	0	none
11_10373	4_0154	0	none
11_10653	4_0155	0	none
11_10158	4_0156	0	none
12_30829	4_0157	0	none
11_10005	4_0158	1.00E-150	none
11_10728	4_0159	1.00E-152	none
12_20863	4_0160	2.00E-63	none
12_11150	4_0161	1.00E-108	none
12_30088	4_0162	0	none
12_11084	4_0163	0	none
11_11191	4_0164	6.00E-61	none
11_21120	4_0165	1.00E-73	none
11_10281	4_0166	0	none
11_20704	4_0167	0	none
11_21502	4_0168	0	none
12_11152	4_0169	0	none
12_30005	4_0170	0	none
11_10839	4_0171	1.00E-116	none
11_11391	4_0172	9.00E-72	none
11_10335	4_0173	1.00E-152	none
12_11284	4_0174	1.00E-165	none
12_20608	4_0175	0	none
12_31153	4_0176	1.00E-130	none
11_20931	4_0177	4.00E-95	none
12_30616	4_0178	0	none
12_30788	4_0179	1.00E-146	none
11_11394	4_0180	0	none
11_10172	4_0181	1.00E-118	none
12_31242	4_0182	1.00E-123	none
11_20017	4_0183	4.00E-78	none
11_20351	4_0184	1.00E-50	none
11_11314	4_0185	3.00E-79	none
11_20273	4_0186	0	none
11_20877	4_0187	0	none
11_11241	4_0188	0	none
12_31323	4_0189	1.00E-59	none
12_30754	4_0190	1.00E-137	none
11_20694	4_0191	9.00E-63	none
12_31529	4_0192	6.00E-55	none
12_10452	4_0193	0	none
12_31356	4_0194	1.00E-116	none
11_10350	4_0195	1.00E-115	none
11_20521	4_0196	8.00E-35	none
11_10276	4_0197	3.00E-78	none
12_30399	4_0198	1.00E-28	none
11_20566	4_0199	6.00E-64	none
11_20124	4_0200	2.00E-37	none
11_20778	4_0201	1.00E-121	none
11_20695	4_0202	0	none
12_10609	4_0203	0	none
11_10683	4_0204	1.00E-12	none
12_30743	4_0205	5.00E-96	none
12_31346	4_0206	2.00E-51	none
11_10047	4_0207	0	none
11_20597	4_0208	7.00E-46	none
11_20362	4_0209	0	none
12_11454	4_0210	0	none
12_21194	4_0211	1.00E-155	none
11_20115	4_0212	5.00E-59	none
12_30170	4_0213	1.00E-163	none
11_21163	4_0214	1.00E-87	none
12_20849	4_0215	0	none
12_30677	4_0216	3.00E-65	none
11_21358	4_0217	3.00E-68	none
11_20093	4_0218	4.00E-75	none
12_31262	4_0219	1.00E-42	none
12_11524	4_0220	4.00E-68	none
12_30278	4_0221	1.00E-132	none
12_11517	4_0222	0	none
11_20063	4_0223	9.00E-66	none
12_11138	4_0224	0	none
11_21348	4_0225	8.00E-76	none
12_31299	4_0226	1.00E-167	none
11_10628	4_0227	7.00E-39	none
11_10444	4_0228	4.00E-60	none
11_21505	4_0229	1.00E-134	none
11_21294	4_0230	6.00E-60	none
11_20136	4_0231	7.00E-92	none
12_31018	4_0232	0	none
12_30663	4_0233	1.00E-118	none
12_10134	4_0234	5.00E-82	none
12_30325	4_0235	2.00E-54	none
11_20659	4_0236	3.00E-62	none
11_10253	4_0237	3.00E-58	none
12_10583	4_0238	3.00E-62	none
11_11021	4_0239	7.00E-85	none
11_10747	4_0240	0	none
12_31367	4_0241	0	none
12_30250	4_0242	2.00E-77	none
12_30090	4_0243	1.00E-149	none
12_30640	4_0244	1.00E-104	none
11_20628	4_0245	0	none
11_20130	4_0246	1.00E-117	none
12_10074	4_0247	1.00E-117	none
12_30909	4_0248	1.00E-117	none
11_20999	4_0249	1.00E-165	none
11_21438	4_0250	3.00E-59	none
11_20626	4_0251	0	none
11_10515	4_0252	1.00E-171	none
11_10184	4_0253	1.00E-111	none
11_21083	4_0254	1.00E-140	none
11_21381	4_0255	4.00E-50	none
11_21517	4_0256	0	none
12_30342	4_0257	2.00E-22	none
12_10344	4_0258	1.00E-105	none
12_10662	4_0259	0	none
11_21495	4_0260	0	none
11_21493	4_0261	1.00E-128	none
12_30119	4_0262	3.00E-52	none
11_20009	4_0263	0	none
11_21513	4_0264	1.00E-113	none
11_21161	4_0265	1.00E-124	none
11_21212	4_0266	0	none
12_11392	4_0267	1.00E-113	none
12_21081	4_0268	1.00E-163	none
11_20023	4_0269	8.00E-92	none
12_30423	4_0270	1.00E-110	none
11_10312	4_0271	0	none
11_20523	4_0272	1.00E-117	none
11_11503	4_0273	4.00E-25	none
12_30276	4_0274	1.00E-132	none
11_21277	4_0275	4.00E-44	none
11_10753	4_0276	0	none
11_20168	4_0277	4.00E-78	none
12_10100	4_0278	4.00E-78	none
12_30375	4_0279	1.00E-47	none
12_31329	4_0280	8.00E-95	none
12_30927	4_0281	0	none
11_10584	4_0282	1.00E-161	none
12_10680	4_0283	0	none
12_30223	4_0284	6.00E-88	none
12_31220	4_0285	2.00E-68	none
11_11330	4_0286	1.00E-34	none
12_31269	4_0287	2.00E-54	none
11_20944	4_0288	1.00E-128	none
11_10918	4_0289	1.00E-165	none
11_21405	4_0290	2.00E-85	none
12_31499	4_0291	1.00E-141	none
12_30732	4_0292	3.00E-90	none
12_30274	4_0293	6.00E-99	none
12_30084	4_0294	0	none
11_10821	4_0295	1.00E-102	none
11_10754	4_0296	0	none
12_11338	4_0297	1.00E-127	none
11_11172	4_0298	1.00E-133	none
12_30924	4_0299	1.00E-123	none
12_31525	4_0300	0	none
12_20413	4_0301	0	none
12_30096	4_0302	1.00E-125	none
12_31238	4_0303	1.00E-132	none
11_20650	4_0304	1.00E-86	none
11_10867	4_0305	2.00E-81	none
12_30081	4_0306	0	none
11_10280	4_0307	0	none
11_20343	5_0001	0.00002	none
11_11141	5_0002	0	none
12_10505	5_0003	3.00E-21	none
12_10188	5_0004	9.00E-45	none
12_30963	5_0005	1.00E-107	none
11_11196	5_0006	1.00E-120	none
11_20662	5_0007	1.00E-89	none
12_20369	5_0008	0	none
11_10842	5_0009	2.00E-71	none
11_20612	5_0010	0	none
12_30973	5_0011	1.00E-100	none
12_30092	5_0012	0	none
11_20527	5_0013	0	none
11_21428	5_0014	1.00E-117	none
11_10381	5_0015	0	none
11_20409	5_0016	0	none
11_11127	5_0017	0	none
12_30860	5_0018	1.00E-115	none
12_10122	5_0019	1.00E-137	none
11_20085	5_0020	1.00E-132	none
11_11328	5_0021	1.00E-115	none
12_31251	5_0022	1.00E-126	none
12_11154	5_0023	0	none
12_31496	5_0024	7.00E-10	none
11_20920	5_0025	0	none
12_30367	5_0026	5.00E-54	none
12_11047	5_0027	0	none
11_20851	5_0028	0	none
11_21427	5_0029	1.00E-156	none
12_30137	5_0030	1.00E-119	none
11_10570	5_0031	0	none
12_11297	5_0032	1.00E-135	none
11_21266	5_0033	1.00E-126	none
12_31161	5_0034	1.00E-117	none
12_21531	5_0035	1.00E-121	none
11_21272	5_0036	1.00E-157	none
12_30841	5_0037	1.00E-121	none
12_21376	5_0038	1.00E-114	none
12_31500	5_0039	1.00E-79	none
12_20421	5_0040	0	none
11_20155	5_0041	2.00E-51	none
12_20505	5_0042	1.00E-101	none
12_30921	5_0043	1.00E-143	none
12_21345	5_0044	0	none
11_11436	5_0045	1.00E-85	none
12_30370	5_0046	0	none
12_11510	5_0047	3.00E-23	none
11_10935	5_0048	6.00E-70	none
12_20198	5_0049	0.000000006	none
11_10646	5_0050	1.00E-101	none
11_21008	5_0051	1.00E-176	none
12_30271	5_0052	1.00E-85	none
11_10702	5_0053	1.00E-128	none
12_30767	5_0054	2.00E-22	none
11_21523	5_0055	3.00E-17	none
12_30960	5_0056	0	none
11_20605	5_0057	1.00E-148	none
11_10893	5_0058	1.00E-140	none
12_31388	5_0059	1.00E-140	none
11_10681	5_0060	1.00E-129	none
12_10629	5_0061	0	none
11_10694	5_0062	2.00E-46	none
11_21267	5_0063	3.00E-55	none
12_30736	5_0064	1.00E-64	none
11_20057	5_0065	4.00E-39	none
12_10014	5_0066	2.00E-31	none
11_11516	5_0067	1.00E-168	none
12_30229	5_0068	1.00E-114	none
12_21500	5_0069	3.00E-50	none
12_30055	5_0070	1.00E-127	none
11_10767	5_0071	7.00E-14	none
12_10215	5_0072	2.00E-79	none
12_30135	5_0073	8.00E-70	none
11_21362	5_0074	1.00E-132	none
11_10343	5_0075	4.00E-32	none
11_20185	5_0076	7.00E-75	none
11_10283	5_0077	3.00E-29	none
12_20345	5_0078	2.00E-29	none
12_31324	5_0079	2.00E-73	none
12_30764	5_0080	1.00E-107	none
11_21228	5_0081	0	none
11_10409	5_0082	1.00E-130	none
11_10208	5_0083	0	none
11_21056	5_0084	5.00E-52	none
11_11345	5_0085	4.00E-88	none
12_31486	5_0086	1.00E-111	none
12_30140	5_0087	2.00E-89	none
12_20274	5_0088	1.00E-131	none
11_10319	5_0089	1.00E-107	none
12_11485	5_0090	1.00E-103	none
12_31458	5_0091	4.00E-24	none
12_11300	5_0092	0	none
11_10490	5_0093	0	none
12_30540	5_0094	1.00E-115	none
12_30150	5_0095	1.00E-83	none
11_10113	5_0096	2.00E-59	none
11_10738	5_0097	0	none
11_10223	5_0098	0	none
11_21359	5_0099	0	none
11_20557	5_0100	2.00E-37	none
11_10574	5_0101	5.00E-49	none
12_31291	5_0102	8.00E-73	none
11_10221	5_0103	5.00E-96	none
11_11199	5_0104	1.00E-54	none
11_21385	5_0105	7.00E-14	none
11_11136	5_0106	1.00E-140	none
12_21458	5_0107	0	none
12_10626	5_0108	0	none
12_10395	5_0109	0	none
11_10132	5_0110	0	none
11_20210	5_0111	0	none
12_11060	5_0112	0	none
12_10562	5_0113	1.00E-85	none
12_11175	5_0114	1.00E-62	none
11_20422	5_0115	1.00E-71	none
12_30394	5_0116	3.00E-60	none
11_20302	5_0117	0	none
11_20606	5_0118	1.00E-140	none
11_21070	5_0119	1.00E-151	none
11_20680	5_0120	2.00E-74	none
11_21418	5_0121	1.00E-138	none
11_20109	5_0122	6.00E-50	none
11_20777	5_0123	2.00E-83	none
11_20001	5_0124	0	none
11_10031	5_0125	0	none
12_30907	5_0126	0	none
11_21374	5_0127	0	none
12_31313	5_0128	5.00E-16	none
12_31164	5_0129	0	none
11_21122	5_0130	1.00E-180	none
12_30863	5_0131	1.00E-168	none
12_30864	5_0132	1.00E-168	none
12_30865	5_0133	1.00E-168	none
11_21397	5_0134	0	none
11_20411	5_0135	0	none
11_21389	5_0136	1.00E-120	none
12_10810	5_0137	0	none
12_10860	5_0138	1.00E-26	none
12_31524	5_0139	1.00E-134	none
12_11382	5_0140	1.00E-16	none
12_10347	5_0141	0	none
12_10171	5_0142	1.00E-166	none
12_30992	5_0143	0	none
11_20012	5_0144	1.00E-71	none
12_10371	5_0145	0	none
12_20240	5_0146	1.00E-101	none
11_20180	5_0147	1.00E-49	none
11_20114	5_0148	0	none
12_10063	5_0149	1.00E-107	none
12_20011	5_0150	1.00E-159	none
12_30328	5_0151	2.00E-78	none
11_11180	5_0152	0	none
12_30187	5_0153	0	none
11_10048	5_0154	2.00E-48	none
12_30993	5_0155	1.00E-171	none
11_10793	5_0156	9.00E-33	none
11_10668	5_0157	1.00E-180	none
12_11112	5_0158	1.00E-171	none
11_20939	5_0159	0	none
11_21490	5_0160	1.00E-178	none
11_11405	5_0161	1.00E-166	none
12_30564	5_0162	1.00E-127	none
11_10261	5_0163	1.00E-112	none
11_10432	5_0164	2.00E-32	none
12_21442	5_0165	1.00E-133	none
11_20853	5_0166	0	none
11_10093	5_0167	7.00E-53	none
12_20156	5_0168	7.00E-53	none
11_10942	5_0169	0	none
11_21071	5_0170	1.00E-103	none
11_20782	5_0171	0	none
12_30488	5_0172	0	none
12_31382	5_0173	0	none
11_10667	5_0174	0	none
12_30878	5_0175	0	none
12_31360	5_0176	1.00E-153	none
12_30331	5_0177	1.00E-145	none
12_31026	5_0178	3.00E-40	none
12_30525	5_0179	5.00E-55	none
11_10756	5_0180	4.00E-94	none
12_21029	5_0181	1.00E-116	none
11_10577	5_0182	0	none
11_20269	5_0183	0	none
12_10195	5_0184	0	none
11_21073	5_0185	8.00E-45	none
12_30777	5_0186	2.00E-90	none
12_10492	5_0187	2.00E-33	none
12_10607	5_0188	1.00E-171	none
11_20289	5_0189	0	none
12_30605	5_0190	1.00E-109	none
12_21137	5_0191	0	none
12_30684	5_0192	0	none
12_30866	5_0193	1.00E-31	none
12_30450	5_0194	3.00E-91	none
12_20525	5_0195	1.00E-126	none
12_11190	5_0196	1.00E-110	none
12_31156	5_0197	0	none
12_20831	5_0198	0	none
12_11063	5_0199	1.00E-72	none
11_10480	5_0200	3.00E-92	none
11_10411	5_0201	0	none
11_11042	5_0202	0	none
11_11332	5_0203	1.00E-130	none
11_20496	5_0204	0	none
11_21303	5_0205	1.00E-99	none
11_10946	5_0206	0	none
12_30427	5_0207	0	none
11_20610	5_0208	0	none
11_10881	5_0209	1.00E-125	none
11_11114	5_0210	2.00E-79	none
11_11244	5_0211	0	none
12_20898	5_0212	1.00E-135	none
11_10527	5_0213	1.00E-132	none
12_11108	5_0214	1.00E-123	none
12_31462	5_0215	1.00E-157	none
11_20412	5_0216	1.00E-141	none
12_10426	5_0217	0	none
11_21481	5_0218	0	none
11_10807	5_0219	0	none
12_30060	5_0220	0	none
11_20363	5_0221	1.00E-113	none
12_10088	5_0222	0	none
12_30839	5_0223	9.00E-91	none
12_31297	5_0224	2.00E-44	none
12_10637	5_0225	1.00E-112	none
11_20020	5_0226	7.00E-33	none
11_10262	0001	1.00E-132	none
11_10046	0002	1.00E-134	none
11_10568	0003	0	none
12_11232	0004	7.00E-21	none
11_21010	0005	0	none
11_20361	0006	1.00E-90	none
11_20151	0007	2.00E-75	none
11_20482	0008	0	none
11_21191	0009	1.00E-132	none
12_30054	0010	0	none
11_21400	0011	2.00E-89	none
12_30237	0012	0	none
11_21087	0013	0	none
11_21296	0014	5.00E-69	none
12_31186	0015	1.00E-128	none
11_11207	0016	1.00E-101	none
11_21273	0017	2.00E-81	none
11_20453	0018	0	none
12_11427	0019	4.00E-95	none
11_20820	0020	0	none
11_20723	0021	1.00E-168	none
11_11224	0022	0	none
11_11229	0023	0	none
12_31515	0024	1.00E-106	none
11_20906	0025	1.00E-105	none
11_20924	0026	0	none
11_10639	0027	0	none
11_11431	0028	1.00E-144	none
12_30620	0029	0	none
11_20062	0030	6.00E-83	none
11_11070	0031	0	none
12_30455	0032	3.00E-73	none
12_31385	0033	3.00E-36	none
11_10010	0034	1.00E-102	none
12_30904	0035	0	none
12_30905	0036	0	none
12_30906	0037	0	none
12_30755	0038	0	none
12_31493	0039	0.00001	none
11_20072	0040	1.00E-92	none
11_10606	0041	1.00E-125	none
12_30693	0042	1.00E-76	none
11_20451	0043	7.00E-17	none
11_10627	0044	8.00E-83	none
12_31536	0045	8.00E-83	none
11_20580	0046	0	none
11_11513	0047	1.00E-132	none
11_21504	0048	0	none
11_10467	0049	2.00E-37	none
12_30994	0050	2.00E-83	none
12_31258	0051	1.00E-129	none
12_31362	0052	0.00000004	none
11_10829	0053	1.00E-71	none
11_10090	0054	0	none
11_11319	0055	1.00E-152	none
11_10309	0056	0	none
12_20143	0057	7.00E-57	none
11_20815	0058	0	none
12_30136	0059	0	none
12_31231	0060	1.00E-109	none
11_11004	0061	1.00E-160	none
11_21353	0062	4.00E-67	none
11_21332	0063	1.00E-111	none
12_31148	0064	0	none
11_10523	0065	7.00E-54	none
12_30787	0066	1.00E-117	none
12_10170	0067	0	none
12_30226	0068	6.00E-83	none
11_11500	0069	1.00E-112	none
11_20670	0070	0	none
12_11526	0071	9.00E-61	none
11_20197	0072	1.00E-131	none
11_20718	0073	1.00E-54	none
11_10724	0074	0	none
12_31246	0075	1.00E-129	none
11_10723	0076	0	none
11_20689	0077	1.00E-24	none
12_30390	0078	0	none
12_10670	0079	5.00E-67	none
11_21151	0080	1.00E-106	none
11_11213	0081	1.00E-133	none
11_20178	0082	9.00E-76	none
11_20765	0083	0	none
11_11398	0084	3.00E-71	none
11_20358	0085	1.00E-131	none
11_10588	0086	0	none
12_30138	0087	1.00E-100	none
11_20384	0088	3.00E-10	none
11_20732	0089	0	none
12_30232	0090	0	none
12_30142	0091	3.00E-85	none
11_10785	0092	1.00E-110	none
12_30718	0093	1.00E-120	none
12_30584	0094	0	none
12_30046	0095	0	none
11_11292	0096	4.00E-90	none
12_30117	0097	0	none
12_30114	0098	1.00E-109	none
12_30554	0099	1.00E-110	none
11_20838	0100	0	none
12_10271	0101	0	none
12_10824	0102	6.00E-29	none
11_21243	0103	1.00E-113	none
11_20762	0104	0	none
12_10666	0105	0	none
11_20119	0106	0	none
12_30987	0107	0	none
12_30988	0108	0	none
12_30539	0109	2.00E-32	none
12_11183	0110	1.00E-138	none
11_11470	0111	2.00E-97	none
12_30158	0112	0	none
11_10614	0113	0	none
11_20454	0114	0	none
11_20515	0115	1.00E-49	none
11_10510	0116	0	none
12_31139	0117	0	none
11_10334	0118	0	none
12_11139	0119	0	none
12_30990	0120	0	none
11_21111	0121	2.00E-77	none
11_20974	0122	7.00E-77	none
12_11194	0123	0	none
12_30385	0124	6.00E-38	none
11_10123	0125	0	none
12_31138	0126	1.00E-115	none
11_10712	0127	1.00E-151	none
12_11233	0128	1.00E-141	none
12_20237	0129	2.00E-87	none
11_11299	0130	1.00E-146	none
11_20701	0131	1.00E-171	none
12_11235	0132	1.00E-161	none
11_11066	0133	1.00E-116	none
11_21035	0134	1.00E-176	none
11_20883	0135	1.00E-153	none
11_10697	0136	1.00E-145	none
12_30146	0137	1.00E-154	none
11_10611	0138	1.00E-126	none
11_21130	0139	1.00E-106	none
11_21210	0140	1.00E-108	none
11_20224	0141	3.00E-78	none
11_10269	0142	0	none
12_20760	0143	4.00E-42	none
12_30873	0144	2.00E-46	none
12_30476	0145	3.00E-92	none
11_20007	0146	0	none
11_10610	0147	3.00E-36	none
12_30425	0148	1.00E-168	none
12_21450	0149	0	none
11_20272	0150	1.00E-115	none
11_10387	0151	7.00E-88	none
12_30239	0152	2.00E-70	none
12_30006	0153	1.00E-134	none
12_31422	0154	1.00E-122	none
11_11186	0155	1.00E-134	none
11_20089	0156	2.00E-70	none
11_11019	0157	0	none
12_30824	0158	0	none
12_30825	0159	0	none
11_20013	0160	2.00E-39	none
12_30163	0161	0	none
11_20894	0162	4.00E-39	none
12_30976	0163	1.00E-12	none
12_30543	0164	1.00E-101	none
11_20553	0165	0	none
12_30984	0166	0.00000002	none
12_30975	0167	1.00E-12	none
12_30983	0168	0.00000002	none
12_31023	0169	5.00E-62	none
12_30591	0170	0	none
12_30001	0171	0	none
12_30977	0172	1.00E-12	none
11_20206	0173	0	none
12_31022	0174	5.00E-62	none
11_21202	0175	1.00E-126	none
11_11381	0176	1.00E-134	none
11_21221	0177	0	none
11_20533	0178	0	none
12_31094	0179	0.0000002	none
11_20010	0180	1.00E-177	none
12_30714	0181	2.00E-56	none
11_21365	0182	7.00E-96	none
11_10695	0183	1.00E-125	none
11_20873	0184	1.00E-105	none
12_30167	0185	1.00E-170	none
11_21065	0186	6.00E-43	none
11_21426	0187	2.00E-96	none
11_10974	0188	1.00E-166	none
11_20761	0189	1.00E-103	none
12_30531	0190	2.00E-37	none
11_11048	0191	2.00E-91	none
12_20576	0192	0	none
11_21324	0193	1.00E-156	none
12_10530	0194	0	none
12_10499	0195	1.00E-52	none
11_10688	0196	3.00E-91	none
11_10580	0197	4.00E-76	none
12_30410	0198	0	none
11_10621	0199	0	none
11_20980	0200	1.00E-127	none
11_21391	0201	1.00E-108	none
11_20845	0202	1.00E-128	none
12_11318	0203	1.00E-151	none
12_10864	0204	2.00E-36	none
12_20770	0205	1.00E-147	none
12_30707	0206	4.00E-83	none
11_21253	0207	0	none
11_20729	0208	1.00E-39	none
12_31312	0209	9.00E-60	none
11_20903	0210	1.00E-116	none
11_20766	0211	0	none
11_10955	0212	1.00E-170	none
12_30654	0213	1.00E-160	none
11_20571	0214	9.00E-76	none
11_10260	0215	1.00E-168	none
11_20987	0216	2.00E-78	none
12_30105	0217	1.00E-138	none
11_11432	0218	1.00E-125	none
12_31492	0219	1.00E-101	none
12_21372	0220	5.00E-20	none
12_31257	0221	0.00000006	none
11_21401	0222	0	none
12_10923	0223	0	none
11_11198	0224	1.00E-135	none
12_31155	0225	0	none
12_30454	0226	1.00E-124	none
12_30354	0227	4.00E-30	none
11_21116	0228	1.00E-168	none
12_30729	0229	1.00E-148	none
11_20841	0230	0	none
11_10116	0231	1.00E-150	none
12_31512	0232	7.00E-55	none
12_31390	0233	0	none
11_21447	0234	0	none
11_20101	0235	2.00E-42	none
11_21308	0236	2.00E-78	none
11_20697	0237	1.00E-106	none
11_10995	0238	1.00E-142	none
11_21011	0239	0	none
11_20958	0240	0	none
11_10240	0241	6.00E-66	none
11_20708	0242	0	none
11_21040	0243	2.00E-76	none
11_10252	0244	0	none
11_10177	0245	0	none
12_30768	0246	1.00E-171	none
12_30792	0247	1.00E-47	none
12_11399	0248	1.00E-137	none
11_10318	0249	0	none
12_11462	0250	1.00E-133	none
12_31317	0251	4.00E-85	none
11_21350	0252	6.00E-71	none
11_10157	0253	2.00E-83	none
11_20700	0254	0	none
12_30337	0255	1.00E-88	none
11_20129	0256	1.00E-137	none
12_30709	0257	1.00E-137	none
12_30575	0258	0	none
11_10058	0259	1.00E-102	none
11_10481	0260	0	none
12_30728	0261	1.00E-72	none
11_21260	0262	0	none
11_20332	0263	0	none
12_30193	0264	1.00E-89	none
12_30717	0265	7.00E-37	none
12_30109	0266	0	none
11_20179	0267	4.00E-86	none
11_20396	0268	4.00E-57	none
11_11506	0269	4.00E-79	none
11_11128	0270	0	none
11_20737	0271	5.00E-82	none
11_10661	0272	1.00E-111	none
12_31259	0273	9.00E-72	none
11_11469	0274	0	none
11_20524	0275	0	none
11_20461	0276	1.00E-162	none
12_30408	0277	1.00E-120	none
11_21215	0278	3.00E-28	none
11_11260	0279	2.00E-69	none
11_21318	0280	0	none
12_30214	0281	3.00E-90	none
12_20059	0282	2.00E-73	none
12_10508	0283	0	none
11_21536	0284	1.00E-116	none
12_31117	0285	1.00E-116	none
11_20239	0286	0	none
12_10079	0287	1.00E-115	none
11_21148	0288	3.00E-40	none
12_10264	0289	0	none
11_20105	0290	1.00E-86	none
11_20306	0291	0	none
12_30747	0292	4.00E-44	none
12_10899	0293	2.00E-91	none
12_30644	0294	1.00E-168	none
12_30538	0295	0	none
12_31183	0296	1.00E-169	none
11_11240	0297	1.00E-133	none
12_11151	0298	1.00E-146	none
11_20283	0299	0	none
11_20961	0300	0	none
12_20981	0301	0	none
12_10034	0302	6.00E-83	none
12_11512	0303	1.00E-85	none
11_20501	0304	1.00E-109	none
12_31340	0305	4.00E-59	none
12_31451	0306	1.00E-159	none
12_11363	0307	6.00E-82	none
12_30700	1_0001	4.00E-80	none
11_10840	1_0002	1.00E-108	none
12_31503	1_0003	1.00E-124	none
11_10671	1_0004	0	none
11_20372	1_0005	1.00E-77	none
12_30111	1_0006	1.00E-163	none
12_31062	1_0007	0	none
12_31064	1_0008	0	none
12_31280	1_0009	3.00E-70	none
11_21200	1_0010	2.00E-48	none
12_10725	1_0011	1.00E-139	none
11_11221	1_0012	0	none
11_21508	1_0013	1.00E-168	none
12_11385	1_0014	1.00E-168	none
11_11159	1_0015	0	none
12_30515	1_0016	0	none
12_30011	1_0017	0	none
12_11089	1_0018	1.00E-125	none
12_31032	1_0019	3.00E-43	none
12_31033	1_0020	3.00E-43	none
12_31034	1_0021	3.00E-43	none
12_31035	1_0022	3.00E-43	none
11_20265	1_0023	1.00E-146	none
11_21344	1_0024	1.00E-178	none
11_11281	1_0025	1.00E-142	none
11_20441	1_0026	1.00E-142	none
12_30745	1_0027	1.00E-121	none
12_31477	1_0028	1.00E-154	none
11_20713	1_0029	0	none
12_21036	1_0030	1.00E-138	none
11_21275	1_0031	1.00E-110	none
11_21121	1_0032	0	none
11_21239	1_0033	2.00E-95	none
