chromosome	U35 Rice Locus	start	aliases	U35_Rice Description
1	LOC_Os01g70470	2612	null	protein expressed protein
1	LOC_Os01g61720	2672	null	protein IQD1, putative, expressed
1	LOC_Os01g64680	2629	null	protein bolA-like protein, expressed
1	LOC_Os01g02150	17283	null	protein sulfated surface glycoprotein 185 precursor, putative, expressed
1	LOC_Os01g73514	16987	null	protein 5-oxoprolinase, putative, expressed
1	LOC_Os01g47430	2789	null	protein expressed protein
1	LOC_Os01g43844	3328	null	protein cytochrome P450 72A1, putative, expressed
1	LOC_Os01g74410	17766	null	protein MYB59, putative, expressed
1	LOC_Os01g34870	3187	null	protein condensin complex subunit 2, putative, expressed
1	LOC_Os01g65410	3359	null	protein serine hydroxymethyltransferase, mitochondrial precursor, putative, expressed
1	LOC_Os01g53020	3674	null	protein electron transporter/ heat shock protein binding protein, putative, expressed
1	LOC_Os01g59140	3166	null	protein DNA-directed RNA polymerases II 24 kDa polypeptide, putative, expressed
1	LOC_Os01g52240	492	null	protein chlorophyll a-b binding protein 2, chloroplast precursor, putative, expressed
1	LOC_Os01g64110	2523	null	protein hevamine-A precursor, putative, expressed
1	LOC_Os01g70550	17965	null	protein expressed protein
1	LOC_Os01g47770	3946	null	protein nudC domain-containing protein 2, putative, expressed
1	LOC_Os01g70860	4449	null	protein esterase PIR7A, putative, expressed
1	LOC_Os01g46810	5007	null	protein viral A-type inclusion protein repeat containing protein, expressed
1	LOC_Os01g61030	2469	null	protein VHS and GAT domain protein, putative, expressed
1	LOC_Os01g03650	18633	null	protein expressed protein
1	LOC_Os01g42234	18260	null	protein amino-acid permease C584.13, putative, expressed
1	LOC_Os01g55920	19931	null	protein retrotransposon protein, putative, unclassified
1	LOC_Os01g52260	18200	null	protein serine acetyltransferase 3, mitochondrial precursor, putative, expressed
1	LOC_Os01g05970	14015	null	protein core histone H2A/H2B/H3/H4 family protein, expressed
1	LOC_Os01g52190	6638	null	protein aspartic proteinase nepenthesin-1 precursor, putative
1	LOC_Os01g45274	371	null	protein carbonic anhydrase, chloroplast precursor, putative, expressed
1	LOC_Os01g53330	14711	null	protein anthocyanidin 5,3-O-glucosyltransferase, putative, expressed
1	LOC_Os01g74350	14749	null	protein soluble inorganic pyrophosphatase, putative, expressed
1	LOC_Os01g69250	15023	null	protein mitochondrial import receptor subunit TOM20, putative, expressed
1	LOC_Os01g67054	15028	null	protein calreticulin-3 precursor, putative, expressed
1	LOC_Os01g62900	15808	null	protein delta 1-pyrroline-5-carboxylate synthetase, putative, expressed
1	LOC_Os01g11414	15397	null	protein calcium ion binding protein, putative, expressed
1	LOC_Os01g64520	2548	null	protein uricase, putative, expressed
1	LOC_Os01g64970	16858	null	protein serine/threonine-protein kinase SAPK4, putative, expressed
1	LOC_Os01g67850	17031	null	protein protein binding protein, putative, expressed
1	LOC_Os01g71010	3271	null	protein lipase precursor, putative, expressed
1	LOC_Os01g44050	5008	null	protein siroheme synthase, putative, expressed
1	LOC_Os01g58550	16412	null	protein DNA-3-methyladenine glycosylase I, putative, expressed
1	LOC_Os01g74640	18405	null	protein mitochondrial uncoupling protein 2, putative, expressed
1	LOC_Os01g01280	5213	null	protein expressed protein
1	LOC_Os01g48130	4721	null	protein ANAC010, putative, expressed
1	LOC_Os01g51840	19463	null	protein calmodulin binding protein, putative, expressed
1	LOC_Os01g59100	5758	null	protein cytokinin-N-glucosyltransferase 1, putative, expressed
1	LOC_Os01g72530	20255	null	protein calmodulin-like protein 41, putative, expressed
1	LOC_Os01g07400	20014	null	protein WD-repeat domain phosphoinositide-interacting protein 3, putative, expressed
1	LOC_Os01g71340	18544	null	protein glucan endo-1,3-beta-glucosidase, acidic isoform precursor, putative, expressed
1	LOC_Os01g13190	3649	null	protein histidinol dehydrogenase, chloroplast precursor, putative, expressed
1	LOC_Os01g61590	20935	null	protein calcium-dependent protein kinase, isoform AK1, putative, expressed
1	LOC_Os01g47450	10158	null	protein carboxyl-terminal-processing protease precursor, putative, expressed
1	LOC_Os01g71990	21169	null	protein pyrroline-5-carboxylate reductase, putative, expressed
1	LOC_Os01g18100	20737	null	protein rhomboid domain containing 1, putative, expressed
1	LOC_Os01g03914	6958	null	protein metal tolerance protein C3, putative, expressed
1	LOC_Os01g56890	14756	null	protein expressed protein
1	LOC_Os01g51020	14817	null	protein 60S ribosomal protein L28, putative, expressed
1	LOC_Os01g03020	23150	null	protein leucyl-tRNA synthetase, putative, expressed
1	LOC_Os01g16450	21684	null	protein peroxidase 24 precursor, putative, expressed
1	LOC_Os01g28500	703	null	protein pathogenesis-related protein PRMS precursor, putative, expressed
1	LOC_Os01g08560	14978	null	protein heat shock 70 kDa protein 4, putative, expressed
1	LOC_Os01g13210	14981	null	protein DREPP4 protein, putative, expressed
1	LOC_Os01g27150	15355	null	protein cullin-1, putative, expressed
1	LOC_Os01g14850	15240	null	protein MFS18 protein precursor, putative, expressed
1	LOC_Os01g19740	15468	null	protein CP12-1, putative, expressed
1	LOC_Os01g07300	15647	null	protein expressed protein
1	LOC_Os01g60770	1073	null	protein alpha-expansin 10 precursor, putative, expressed
1	LOC_Os01g59930	1214	null	protein NADH-cytochrome b5 reductase, putative, expressed
1	LOC_Os01g10290	15936	null	protein autophagy-related protein 3, putative, expressed
1	LOC_Os01g05670	439	null	protein synaptic glycoprotein SC2, putative, expressed
1	LOC_Os01g70980	1639	null	protein expressed protein
1	LOC_Os01g02800	16133	null	protein receptor-like kinase ARK1AS, putative, expressed
1	LOC_Os01g31690	404	null	protein oxygen-evolving enhancer protein 1, chloroplast precursor, putative, expressed
1	LOC_Os01g32800	16411	null	protein 26S proteasome non-ATPase regulatory subunit 13, putative, expressed
1	LOC_Os01g55770	16544	null	protein expressed protein
1	LOC_Os01g25280	1988	null	protein salt stress-induced protein, putative, expressed
1	LOC_Os01g53240	1068	null	protein dehydration-induced protein RD22-like protein 2, putative, expressed
1	LOC_Os01g10610	3549	null	protein brassinazole-resistant 1 protein, putative, expressed
1	LOC_Os01g17214	3450	null	protein carbohydrate transporter/ sugar porter/ transporter, putative, expressed
1	LOC_Os01g18320	18048	null	protein protoporphyrinogen oxidase, chloroplast precursor, putative, expressed
1	LOC_Os01g20110	3764	null	protein expressed protein
1	LOC_Os01g46670	3485	null	protein hypothetical protein
1	LOC_Os01g16030	13917	null	protein ADP-ribosylation factor, putative, expressed
1	LOC_Os01g64270	18781	null	protein expressed protein
1	LOC_Os01g25880	18643	null	protein dephospho-CoA kinase, putative, expressed
1	LOC_Os01g16530	4265	null	protein ATP-dependent Clp protease proteolytic subunit-like, putative, expressed
1	LOC_Os01g08770	16563	null	protein WD-repeat protein 46, putative, expressed
1	LOC_Os01g60450	5432	null	protein trans-cinnamate 4-monooxygenase, putative
1	LOC_Os01g15290	4566	null	protein 50S ribosomal protein L18, putative, expressed
1	LOC_Os01g11240	721	null	protein expressed protein
1	LOC_Os01g03950	16772	null	protein alpha-D-xylosidase, putative, expressed
1	LOC_Os01g67370	28600	null	protein expressed protein
1	LOC_Os01g68440	20899	null	protein expressed protein
1	LOC_Os01g01010	22170	null	protein TBC domain containing protein, expressed
1	LOC_Os01g68700	12306	null	protein BHLH transcription factor, putative, expressed
1	LOC_Os01g56680	1054	null	protein photosystem II reaction center W protein, chloroplast precursor, putative, expressed
1	LOC_Os01g42860	1429	null	protein subtilisin-chymotrypsin inhibitor 2, putative, expressed
1	LOC_Os01g04040	14645	null	protein Bowman-Birk type wound-induced proteinase inhibitor WIP1 precursor, putative
1	LOC_Os01g04040	14649	null	protein Bowman-Birk type wound-induced proteinase inhibitor WIP1 precursor, putative
1	LOC_Os01g67120	14945	null	protein rhodanese-like domain containing protein, expressed
1	LOC_Os01g67120	14948	null	protein rhodanese-like domain containing protein, expressed
1	LOC_Os01g51200	16326	null	protein casein kinase I isoform delta-like, putative, expressed
1	LOC_Os01g68580	1668	null	protein protease inhibitor/seed storage/LTP family protein, expressed
1	LOC_Os01g15600	16880	null	protein PUR ALPHA-1, putative, expressed
1	LOC_Os01g51120	17320	null	protein vesicle transport v-SNARE 13, putative, expressed
1	LOC_Os01g21590	17795	null	protein expressed protein
1	LOC_Os01g56370	17796	null	protein expressed protein
1	LOC_Os01g15770	17880	null	protein expressed protein
1	LOC_Os01g02884	18435	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g15979	18768	null	protein gb protein, putative, expressed
1	LOC_Os01g61410	18845	null	protein rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial precursor, putative, expressed
1	LOC_Os01g74580	19170	null	protein dnaJ homolog subfamily C member 7, putative, expressed
1	LOC_Os01g55730	19723	null	protein expressed protein
1	LOC_Os01g65330	19819	null	protein expressed protein
1	LOC_Os01g18080	208	null	protein tyrosine-protein phosphatase non-receptor type 23, putative, expressed
1	LOC_Os01g43750	20923	null	protein cytochrome P450 72A1, putative, expressed
1	LOC_Os01g07970	21372	null	protein expressed protein
1	LOC_Os01g07750	2337	null	protein expressed protein
1	LOC_Os01g14070	3263	null	protein 60S ribosomal protein L18A, putative, expressed
1	LOC_Os01g42970	3301	null	protein zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
1	LOC_Os01g57110	3842	null	protein ATP binding protein, putative, expressed
1	LOC_Os01g66120	425	null	protein NAC domain-containing protein 48, putative, expressed
1	LOC_Os01g15610	4331	null	protein expressed protein
1	LOC_Os01g68390	4451	null	protein uncharacterized ACR, COG1565 family protein, expressed
1	LOC_Os01g11580	4589	null	protein DNA binding protein, putative, expressed
1	LOC_Os01g33160	4775	null	protein pop3 peptide, putative, expressed
1	LOC_Os01g23640	5128	null	protein mov34/MPN/PAD-1 family protein, expressed
1	LOC_Os01g66120	518	null	protein NAC domain-containing protein 48, putative, expressed
1	LOC_Os01g50320	5904	null	protein surp module family protein, expressed
1	LOC_Os01g69230	6680	null	protein protein binding protein, putative, expressed
1	LOC_Os01g04870	7851	null	protein nucleic acid binding protein, putative, expressed
2	LOC_Os02g21240	2776	null	protein ubiquitin-protein ligase, putative, expressed
2	LOC_Os02g21880	2603	null	protein coiled-coil domain-containing protein 94, putative, expressed
2	LOC_Os02g16830	1266	null	protein glutelin type-B 4 precursor, putative, expressed
2	LOC_Os02g24020	17909	null	protein dihydrodipicolinate reductase, putative, expressed
2	LOC_Os02g01560	14431	null	protein 40S ribosomal protein S4, putative, expressed
2	LOC_Os02g49320	15598	null	protein sucrose cleavage protein-like, putative, expressed
2	LOC_Os02g17850	6609	null	protein TOM2B, putative, expressed
2	LOC_Os02g39550	17286	null	protein calcium-binding mitochondrial protein Anon-60Da, putative, expressed
2	LOC_Os02g14840	48387	null	protein potassium channel KAT1, putative, expressed
2	LOC_Os02g35090	1715	null	protein expressed protein
2	LOC_Os02g20360	3288	null	protein tyrosine aminotransferase, putative, expressed
2	LOC_Os02g30600	3467	null	protein conserved hypothetical protein
2	LOC_Os02g07120	16078	null	protein cullin-associated NEDD8-dissociated protein 1, putative, expressed
2	LOC_Os02g35590	15635	null	protein glutathione S-transferase zeta class, putative, expressed
2	LOC_Os02g28980	15782	null	protein peptidyl-prolyl isomerase, putative, expressed
2	LOC_Os02g18080	6429	null	protein NB-ARC domain containing protein, expressed
2	LOC_Os02g35130	15856	null	protein protein AIG1, putative, expressed
2	LOC_Os02g13970	1467	null	protein UOS1, putative, expressed
2	LOC_Os02g02870	17139	null	protein glycine-rich protein 2, putative, expressed
2	LOC_Os02g27220	20199	null	protein protein phosphatase 2C containing protein, expressed
2	LOC_Os02g27030	14751	null	protein cysteine proteinase 1 precursor, putative, expressed
2	LOC_Os02g33450	837	null	protein 2-cys peroxiredoxin BAS1, chloroplast precursor, putative, expressed
2	LOC_Os02g32660	15640	null	protein 1,4-alpha-glucan branching enzyme IIB, chloroplast precursor, putative, expressed
2	LOC_Os02g37420	1644	null	protein ras-related protein Rab-2-A, putative, expressed
2	LOC_Os02g38840	15041	null	protein glucose-6-phosphate 1-dehydrogenase, cytoplasmic isoform, putative, expressed
2	LOC_Os02g40000	17724	null	protein trafficking protein particle complex protein 2, putative, expressed
2	LOC_Os02g56130	1975	null	protein proliferating cell nuclear antigen, putative, expressed
2	LOC_Os02g13970	1467	null	protein UOS1, putative, expressed
2	LOC_Os02g45930	4017	null	protein expressed protein
2	LOC_Os02g44500	727	null	protein phospholipid hydroperoxide glutathione peroxidase, putative, expressed
2	LOC_Os02g36490	7045	null	protein expressed protein
2	LOC_Os02g22130	3995	null	protein GTPase activating protein, putative, expressed
2	LOC_Os02g22260	5369	null	protein fruit protein PKIWI502, putative, expressed
2	LOC_Os02g22260	5369	null	protein fruit protein PKIWI502, putative, expressed
2	LOC_Os02g17390	15527	null	protein peroxisomal fatty acid beta-oxidation multifunctional protein, putative, expressed
2	LOC_Os02g55200	16888	null	protein expressed protein
2	LOC_Os02g38980	20488	null	protein global transcription factor group E, putative, expressed
2	LOC_Os02g35190	19359	null	protein chloride channel protein CLC-c, putative, expressed
2	LOC_Os02g04320	17076	null	protein SEC13-related protein, putative, expressed
2	LOC_Os02g18660	3872	null	protein expressed protein
2	LOC_Os02g57854	15730	null	protein vacuolar ATP synthase subunit F, putative, expressed
2	LOC_Os02g53420	1230	null	protein heat shock 70 kDa protein, mitochondrial precursor, putative, expressed
2	LOC_Os02g21660	14574	null	protein 60S ribosomal protein L10a-1, putative, expressed
2	LOC_Os02g19510	15666	null	protein lysine ketoglutarate reductase trans-splicing related 1, putative, expressed
2	LOC_Os02g15750	1784	null	protein expressed protein
2	LOC_Os02g30210	19018	null	protein SKIP4, putative, expressed
2	LOC_Os02g30210	6407	null	protein SKIP4, putative, expressed
2	LOC_Os02g58590	6520	null	protein N-acetylglucosaminyltransferase I, putative, expressed
2	LOC_Os02g26650	1452	null	protein 7-dehydrocholesterol reductase, putative, expressed
2	LOC_Os02g11830	19214	null	protein coatomer subunit beta, putative, expressed
2	LOC_Os02g11830	19214	null	protein coatomer subunit beta, putative, expressed
2	LOC_Os02g17280	17198	null	protein gamma-secretase subunit APH-1B, putative, expressed
2	LOC_Os02g32350	617	null	protein 4SNc-Tudor domain protein, putative, expressed
2	LOC_Os02g11030	19552	null	protein structural constituent of ribosome, putative, expressed
2	LOC_Os02g03740	16787	null	protein glutamine amidotransferase subunit pdxT, putative, expressed
2	LOC_Os02g33110	16716	null	protein beta-fructofuranosidase, insoluble isoenzyme 1 precursor, putative, expressed
2	LOC_Os02g17380	3991	null	protein expressed protein
2	LOC_Os02g22140	5250	null	protein ADP-ribosylation factor, putative, expressed
2	LOC_Os02g57150	16140	null	protein tubulin-specific chaperone A, putative, expressed
2	LOC_Os02g21920	18842	null	protein senescence-associated protein, putative, expressed
2	LOC_Os02g21260	19797	null	protein ubiquitin-protein ligase, putative, expressed
2	LOC_Os02g15310	15789	null	protein SR repressor protein, putative, expressed
2	LOC_Os02g21250	3439	null	protein coatomer subunit zeta-1, putative, expressed
2	LOC_Os02g17940	1048	null	protein leucoanthocyanidin dioxygenase, putative, expressed
2	LOC_Os02g44930	1141	null	protein HMG1/2-like protein, putative, expressed
2	LOC_Os02g53180	571	null	protein 1-aminocyclopropane-1-carboxylate oxidase 1, putative, expressed
2	LOC_Os02g32520	14457	null	protein ERD1 protein, chloroplast precursor, putative, expressed
2	LOC_Os02g13840	15922	null	protein citrate synthase, glyoxysomal precursor, putative, expressed
2	LOC_Os02g17920	3368	null	protein lactoylglutathione lyase, putative, expressed
2	LOC_Os02g32030	141	null	protein elongation factor 2, putative, expressed
2	LOC_Os02g01150	811	null	protein hydroxypyruvate reductase, putative, expressed
2	LOC_Os02g01240	3488	null	protein ankyrin-3, putative, expressed
2	LOC_Os02g01030	1653	null	protein hsc70-interacting protein, putative, expressed
2	LOC_Os02g01280	2860	null	protein ruBisCO large subunit-binding protein subunit beta, chloroplast precursor, putative, expressed
2	LOC_Os02g01170	2587	null	protein thyroid receptor-interacting protein 12, putative, expressed
2	LOC_Os02g01070	17658	null	protein FG-GAP repeat family protein, expressed
2	LOC_Os02g01340	15005	null	protein ferredoxin--NADP reductase, leaf isozyme, chloroplast precursor, putative, expressed
2	LOC_Os02g01360	2877	null	protein expressed protein
2	LOC_Os02g01490	18606	null	protein expressed protein
2	LOC_Os02g14110	15149	null	protein aspartate aminotransferase, mitochondrial precursor, putative, expressed
2	LOC_Os02g01740	18027	null	protein U5 small nuclear ribonucleoprotein 200 kDa helicase, putative, expressed
2	LOC_Os02g02130	845	null	protein 60S ribosomal protein L37, putative
2	LOC_Os02g02320	15930	null	protein serine carboxypeptidase 3 precursor, putative, expressed
2	LOC_Os02g02320	15930	null	protein serine carboxypeptidase 3 precursor, putative, expressed
2	LOC_Os02g02400	14773	null	protein catalase isozyme A, putative, expressed
2	LOC_Os02g02410	14470	null	protein luminal-binding protein 3 precursor, putative, expressed
2	LOC_Os02g02480	3329	null	protein DNA binding protein, putative, expressed
2	LOC_Os02g02410	47882	null	protein luminal-binding protein 3 precursor, putative, expressed
2	LOC_Os02g14430	1037	null	protein peroxidase 68 precursor, putative, expressed
2	LOC_Os02g03040	4104	null	protein arginine/serine-rich splicing factor RSP41, putative, expressed
2	LOC_Os02g03000	4330	null	protein division protein, putative, expressed
2	LOC_Os02g02950	21048	null	protein expressed protein
2	LOC_Os02g02830	17404	null	protein ubiquitin-conjugating enzyme E2-17 kDa 9, putative, expressed
2	LOC_Os02g02890	14255	null	protein peptidyl-prolyl cis-trans isomerase, putative, expressed
2	LOC_Os02g03100	15840	null	protein NADP-dependent D-sorbitol-6-phosphate dehydrogenase, putative, expressed
2	LOC_Os02g03260	2227	null	protein 3-isopropylmalate dehydratase large subunit 2, putative, expressed
2	LOC_Os02g03270	22036	null	protein DNA binding protein, putative, expressed
2	LOC_Os02g03330	16436	null	protein lil3 protein, putative, expressed
2	LOC_Os02g37060	16003	null	protein expressed protein
2	LOC_Os02g03470	14160	null	protein tetratricopeptide repeat protein KIAA0103, putative, expressed
2	LOC_Os02g03460	19915	null	protein phosphatidate cytidylyltransferase, putative, expressed
2	LOC_Os02g03540	17918	null	protein ribose-phosphate pyrophosphokinase 1, putative, expressed
2	LOC_Os02g03450	2742	null	protein golgi SNARE 12 protein, putative, expressed
2	LOC_Os02g03860	15350	null	protein mitochondrial ATP synthase precursor, putative, expressed
2	LOC_Os02g03720	17432	null	protein esterase/lipase/thioesterase family active site protein, putative, expressed
2	LOC_Os02g30180	16470	null	protein PUG domain fused to an UBA domain, putative, expressed
2	LOC_Os02g03850	19269	null	protein expressed protein
2	LOC_Os02g54160	15743	null	protein ethylene response element binding protein, putative, expressed
2	LOC_Os02g04100	966	null	protein proteasome subunit alpha type 1, putative, expressed
2	LOC_Os02g05680	2273	null	protein disulfide oxidoreductase/ electron carrier/ oxidoreductase, putative, expressed
2	LOC_Os02g37470	17493	null	protein FLU, putative, expressed
2	LOC_Os02g05440	950	null	protein expressed protein
2	LOC_Os02g04250	4292	null	protein glycosyltransferase, putative, expressed
2	LOC_Os02g04460	2215	null	protein 50S ribosomal protein L3, chloroplast precursor, putative, expressed
2	LOC_Os02g49950	3310	null	protein spotted leaf protein 11, putative, expressed
2	LOC_Os02g04480	2204	null	protein splicing factor 3B subunit 3, putative, expressed
2	LOC_Os02g05630	777	null	protein protein phosphatase 2C isoform epsilon, putative, expressed
2	LOC_Os02g24354	16452	null	protein diaminopimelate decarboxylase, putative, expressed
2	LOC_Os02g05510	4733	null	protein GATA transcription factor 25, putative, expressed
2	LOC_Os02g05340	14244	null	protein 26S proteasome regulatory subunit rpn1, putative, expressed
2	LOC_Os02g05470	19635	null	protein CCT motif family protein, expressed
2	LOC_Os02g06370	17939	null	protein DNA binding protein, putative, expressed
2	LOC_Os02g06430	19895	null	protein expressed protein
2	LOC_Os02g09200	20511	null	protein cytochrome P450 71D10, putative, expressed
2	LOC_Os02g08480	17008	null	protein ubiquitin fusion degradation protein 1, putative, expressed
2	LOC_Os02g07760	1455	null	protein succinate semialdehyde dehydrogenase, mitochondrial precursor, putative, expressed
2	LOC_Os02g07410	1795	null	protein glycine cleavage system H protein, mitochondrial precursor, putative, expressed
2	LOC_Os02g10590	21468	null	protein FK506 binding protein, putative, expressed
2	LOC_Os02g07490	15633	null	protein glyceraldehyde-3-phosphate dehydrogenase, cytosolic, putative, expressed
2	LOC_Os02g09590	16167	null	protein ribosome-like protein, putative, expressed
2	LOC_Os02g09850	17583	null	protein expressed protein
2	LOC_Os02g07910	1232	null	protein fiber protein Fb15, putative, expressed
2	LOC_Os02g08440	15934	null	protein OsWRKY71 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed
2	LOC_Os02g08100	1746	null	protein 4-coumarate--CoA ligase 1, putative, expressed
2	LOC_Os02g07600	4175	null	protein low-molecular-weight cysteine-rich protein LCR70 precursor, putative
2	LOC_Os02g09750	246	null	protein lycopene beta cyclase, chloroplast precursor, putative, expressed
2	LOC_Os02g10310	16553	null	protein fumarylacetoacetase, putative, expressed
2	LOC_Os02g10070	1124	null	protein citrate synthase 4, mitochondrial precursor, putative, expressed
2	LOC_Os02g08180	15616	null	protein protein transport protein SEC61 gamma subunit, putative, expressed
2	LOC_Os02g10200	14363	null	protein zinc finger A20 and AN1 domains-containing protein, putative, expressed
2	LOC_Os02g09420	17325	null	protein cyclase, putative, expressed
2	LOC_Os02g13140	13811	null	protein xaa-Pro dipeptidase, putative, expressed
2	LOC_Os02g11840	16314	null	protein coatomer subunit beta, putative, expressed
2	LOC_Os02g37862	6	null	protein 60S ribosomal protein L6, putative, expressed
2	LOC_Os02g13960	4944	null	protein spotted leaf protein 11, putative, expressed
2	LOC_Os02g11750	16373	null	protein RNA-binding protein 25, putative, expressed
2	LOC_Os02g15580	7013	null	protein cyclic nucleotide-gated ion channel 1, putative, expressed
2	LOC_Os02g11820	16981	null	protein GTP-ase activating protein for Arf containing protein, putative, expressed
2	LOC_Os02g12660	6987	null	protein receptor-like kinase, putative, expressed
2	LOC_Os02g38810	15650	null	protein 26S proteasome non-ATPase regulatory subunit 6, putative, expressed
2	LOC_Os02g37590	17079	null	protein glycerophosphoryl diester phosphodiesterase family protein, putative, expressed
2	LOC_Os02g39360	16265	null	protein salt tolerance-like protein, putative, expressed
2	LOC_Os02g39400	16868	null	protein isochorismatase hydrolase, putative, expressed
2	LOC_Os02g38240	17975	null	protein rhodanese family protein, putative, expressed
2	LOC_Os02g32120	753	null	protein ubiquinol-cytochrome c reductase iron-sulfur subunit, mitochondrial precursor, putative, expressed
2	LOC_Os02g38210	976	null	protein elongation factor Tu, chloroplast precursor, putative, expressed
2	LOC_Os02g38190	16093	null	protein expressed protein
2	LOC_Os02g37870	2578	null	protein brix domain-containing protein 2, putative, expressed
2	LOC_Os02g38200	16233	null	protein isocitrate dehydrogenase subunit 1, mitochondrial precursor, putative, expressed
2	LOC_Os02g37856	1726	null	protein expressed protein
2	LOC_Os02g38440	3443	null	protein steroid dehydrogenase KIK-I, putative, expressed
2	LOC_Os02g33730	3909	null	protein ubiquinol-cytochrome C reductase hinge protein, expressed
2	LOC_Os02g39400	16868	null	protein isochorismatase hydrolase, putative, expressed
2	LOC_Os02g39200	4690	null	protein nucleotide-sugar transporter/ sugar porter, putative, expressed
2	LOC_Os02g38020	19619	null	protein inorganic phosphate transporter 2-1, chloroplast precursor, putative, expressed
2	LOC_Os02g38820	17528	null	protein expressed protein
2	LOC_Os02g38250	18879	null	protein EMB1745, putative, expressed
2	LOC_Os02g38029	4793	null	protein expressed protein
2	LOC_Os02g39790	13709	null	protein S-adenosylmethionine decarboxylase proenzyme, putative, expressed
2	LOC_Os02g19820	1167	null	protein expressed protein
2	LOC_Os02g39930	1471	null	protein OsTIL-1 - Oryza sativa Temperature-induced lipocalin-1, expressed
2	LOC_Os02g40514	2060	null	protein h/ACA ribonucleoprotein complex subunit 3-like protein, putative, expressed
2	LOC_Os02g42350	17606	null	protein nitrilase 4, putative, expressed
2	LOC_Os02g19820	1167	null	protein expressed protein
2	LOC_Os02g40890	15876	null	protein pleckstrin homology domain containing, family A, putative, expressed
2	LOC_Os02g39850	15902	null	protein anthranilate N-benzoyltransferase protein 1, putative, expressed
2	LOC_Os02g39890	2887	null	protein nuclear cap-binding protein subunit 2, putative, expressed
2	LOC_Os02g16660	19870	null	protein protein cbxX, chromosomal, putative, expressed
2	LOC_Os02g40830	15472	null	protein succinyl-CoA ligase beta-chain, mitochondrial precursor, putative, expressed
2	LOC_Os02g31874	16568	null	protein expressed protein
2	LOC_Os02g10920	17294	null	protein RNA-binding protein cabeza, putative, expressed
2	LOC_Os02g39830	3880	null	protein enhancer of rudimentary, putative, expressed
2	LOC_Os02g36380	23234	null	protein cryptochrome 1 apoprotein, putative, expressed
2	LOC_Os02g40080	17201	null	protein tic20-like protein, putative, expressed
2	LOC_Os02g40784	17277	null	protein CER1, putative, expressed
2	LOC_Os02g41990	16796	null	protein expressed protein
2	LOC_Os02g41590	14937	null	protein adenosine kinase 2, putative, expressed
2	LOC_Os02g41580	3111	null	protein calcium-dependent protein kinase 2, putative, expressed
2	LOC_Os02g41550	5746	null	protein cryptochrome 2 apoprotein, putative, expressed
2	LOC_Os02g42960	3278	null	protein expressed protein
2	LOC_Os02g44080	14113	null	protein aquaporin TIP2.1, putative, expressed
2	LOC_Os02g43930	15233	null	protein dnaJ protein homolog 2, putative, expressed
2	LOC_Os02g44870	470	null	protein dehydrin COR410, putative, expressed
2	LOC_Os02g43020	15495	null	protein heat shock protein STI, putative, expressed
2	LOC_Os02g45820	16812	null	protein mitochondrial import inner membrane translocase subunit Tim13, putative, expressed
2	LOC_Os02g43760	17683	null	protein ubiquitin carboxyl-terminal hydrolase isozyme L3, putative, expressed
2	LOC_Os02g45450	5832	null	protein dehydration-responsive element-binding protein 1A, putative, expressed
2	LOC_Os02g45054	6533	null	protein INDETERMINATE-related protein 9, putative, expressed
2	LOC_Os02g44980	3349	null	protein amino acid transport protein, putative, expressed
2	LOC_Os02g43830	16277	null	protein 3-isopropylmalate dehydratase small subunit 2, putative, expressed
2	LOC_Os02g43550	17497	null	protein nuc-1 negative regulatory protein preg, putative, expressed
2	LOC_Os02g45450	5832	null	protein dehydration-responsive element-binding protein 1A, putative, expressed
2	LOC_Os02g26794	2831	null	protein expressed protein
2	LOC_Os02g46610	1396	null	protein expressed protein
2	LOC_Os02g47440	17437	null	protein syntaxin 23, putative, expressed
2	LOC_Os02g47800	1823	null	protein monodehydroascorbate reductase, cytoplasmic isoform 2, putative, expressed
2	LOC_Os02g47580	17449	null	protein expressed protein
2	LOC_Os02g46956	17084	null	protein expressed protein
2	LOC_Os02g47220	4246	null	protein serine/threonine-protein kinase ICK, putative, expressed
2	LOC_Os02g47150	4147	null	protein DNA topoisomerase 2, putative, expressed
2	LOC_Os02g47110	3105	null	protein ADP-ribosylation factor, putative, expressed
2	LOC_Os02g48560	14528	null	protein omega-6 fatty acid desaturase, endoplasmic reticulum isozyme 2, putative, expressed
2	LOC_Os02g47020	14461	null	protein phosphoribulokinase, chloroplast precursor, putative, expressed
2	LOC_Os02g47620	19035	null	protein catalytic/ hydrolase, putative, expressed
2	LOC_Os02g48720	14437	null	protein ADP,ATP carrier protein, mitochondrial precursor, putative, expressed
2	LOC_Os02g47600	15057	null	protein soluble inorganic pyrophosphatase, putative, expressed
2	LOC_Os02g48620	2138	null	protein expressed protein
2	LOC_Os02g48110	1571	null	protein oxygen-regulated protein precursor, putative, expressed
2	LOC_Os02g48870	15877	null	protein aspartic proteinase nepenthesin-2 precursor, putative, expressed
2	LOC_Os02g49080	16425	null	protein nucleic acid binding protein, putative, expressed
2	LOC_Os02g48964	15825	null	protein WD-repeat protein-like, putative, expressed
2	LOC_Os02g49450	20268	null	protein BSD domain containing protein, expressed
2	LOC_Os02g49680	1462	null	protein calcium sensing receptor, putative, expressed
