barley opa_index	Brach gene	evalue	description
	Bradi2g01620	5.00E-134	none
	Bradi2g01630	6.00E-14	none
	Bradi2g01640	1.00E-59	none
	Bradi2g01650	4.00E-14	none
	Bradi2g01660		none
	Bradi2g01670	2.00E-19	none
	Bradi2g01680	1.00E-57	none
	Bradi2g01690	3.00E-52	none
	Bradi2g01700	2.00E-15	none
	Bradi2g01710	3.00E-31	none
	Bradi2g01720	3.00E-36	none
	Bradi2g01730	1.00E-25	none
	Bradi2g01740	2.00E-42	none
	Bradi2g01750		none
	Bradi2g01760		none
	Bradi2g01770	9.00E-30	none
	Bradi2g01780	2.00E-40	none
	Bradi2g01790		none
	Bradi2g01800	3.00E-43	none
	Bradi2g01810	3.00E-124	none
	Bradi2g01820	3.00E-24	none
12_30915	Bradi2g01830	0	none
11_20595	Bradi2g01840	0	none
	Bradi2g01850	0	none
	Bradi2g01860	1.00E-93	none
	Bradi2g01870	3.00E-148	none
	Bradi2g01880		none
	Bradi2g01890	5.00E-59	none
	Bradi2g01900	1.00E-79	none
	Bradi2g01910	2.00E-43	none
11_10112	Bradi2g01920	6.00E-37	none
	Bradi2g01930	6.00E-40	none
	Bradi2g01940	7.00E-61	none
11_10886	Bradi2g01950	6.00E-144	none
	Bradi2g01960	6.00E-61	none
	Bradi2g01970	8.00E-119	none
12_30910	Bradi2g01980	8.00E-143	none
	Bradi2g01990	1.00E-63	none
	Bradi2g02000	0	none
	Bradi2g02010	1.00E-112	none
	Bradi2g02020		none
	Bradi2g02030	4.00E-67	none
	Bradi2g02040		none
	Bradi2g02050	5.00E-61	none
	Bradi2g02060	5.00E-15	none
	Bradi2g02070	0	none
	Bradi2g02080	2.00E-22	none
11_20976	Bradi2g02090	5.00E-16	none
11_21027	Bradi2g02100	9.00E-61	none
	Bradi2g02110	3.00E-68	none
	Bradi2g02120	4.00E-99	none
	Bradi2g02130	4.00E-26	none
	Bradi2g02140	1.00E-57	none
	Bradi2g02150		none
11_11406	Bradi2g02160	5.00E-64	none
	Bradi2g02170	4.00E-12	none
	Bradi2g02180	3.00E-61	none
	Bradi2g02190	1.00E-17	none
	Bradi2g02200	5.00E-47	none
	Bradi2g02210	2.00E-82	none
	Bradi2g02220		none
11_20742	Bradi2g02230	0	none
11_21129	Bradi2g02240	2.00E-12	none
	Bradi2g02250	9.00E-177	none
12_30589	Bradi2g02260	3.00E-76	none
12_30589	Bradi2g02270	5.00E-77	none
12_30589	Bradi2g02280	8.00E-68	none
	Bradi2g02290	3.00E-71	none
11_10565	Bradi2g02300	5.00E-135	none
	Bradi2g02310	2.00E-73	none
	Bradi2g02320	1.00E-166	none
	Bradi2g02330	3.00E-154	none
	Bradi2g02340	7.00E-61	none
	Bradi2g02350	8.00E-31	none
	Bradi2g02360	8.00E-116	none
	Bradi2g02370	0	none
	Bradi2g02380	4.00E-153	none
	Bradi2g02390	8.00E-156	none
	Bradi2g02400	1.00E-57	none
	Bradi2g02410	1.00E-46	none
	Bradi2g02420		none
	Bradi2g02430	5.00E-175	none
	Bradi2g02440	7.00E-38	none
	Bradi2g02450	6.00E-14	none
	Bradi2g02460	3.00E-12	none
	Bradi2g02470	9.00E-131	none
	Bradi2g02480	7.00E-113	none
	Bradi2g02490	7.00E-169	none
	Bradi2g02500	6.00E-28	none
	Bradi2g02510	2.00E-179	none
	Bradi2g02520	5.00E-40	none
	Bradi2g02530	0	none
	Bradi2g02540	1.00E-36	none
	Bradi2g02550		none
	Bradi2g02560	5.00E-103	none
	Bradi2g02570		none
	Bradi2g02580		none
	Bradi2g02590	3.00E-56	none
	Bradi2g02600	8.00E-77	none
	Bradi2g02610	2.00E-145	none
	Bradi2g02620	3.00E-16	none
	Bradi2g02630		none
	Bradi2g02640		none
	Bradi2g02650		none
12_11482	Bradi2g02660	5.00E-99	none
	Bradi2g02670		none
	Bradi2g02680		none
	Bradi2g02690	6.00E-74	none
	Bradi2g02700	2.00E-72	none
	Bradi2g02710	1.00E-95	none
	Bradi2g02720	1.00E-105	none
11_20552	Bradi2g02730	0	none
	Bradi2g02740	6.00E-34	none
	Bradi2g02750	3.00E-117	none
	Bradi2g02760	6.00E-45	none
11_10559	Bradi2g02770	0	none
	Bradi2g02780	1.00E-71	none
	Bradi2g02790	7.00E-103	none
12_30920	Bradi2g02800	0	none
	Bradi2g02810	1.00E-104	none
11_20794	Bradi2g02820	0	none
	Bradi2g02830	1.00E-48	none
	Bradi2g02840		none
	Bradi2g02850	1.00E-47	none
	Bradi2g02860	5.00E-41	none
12_11237	Bradi2g02870	8.00E-83	none
	Bradi2g02880	6.00E-86	none
11_20968	Bradi2g02890	5.00E-70	none
	Bradi2g02900	8.00E-125	none
	Bradi2g02910	1.00E-26	none
	Bradi2g02920	5.00E-26	none
	Bradi2g02930	1.00E-55	none
	Bradi2g02940	2.00E-126	none
	Bradi2g02950		none
	Bradi2g02960	4.00E-25	none
	Bradi2g02970	2.00E-103	none
	Bradi2g02980	3.00E-61	none
	Bradi2g02990	2.00E-87	none
	Bradi2g03000		none
	Bradi2g03010	2.00E-91	none
	Bradi2g03020	2.00E-92	none
	Bradi2g03030		none
	Bradi2g03040	3.00E-35	none
	Bradi2g03050		none
	Bradi2g03060	8.00E-91	none
11_10580	Bradi2g03070	5.00E-74	none
	Bradi2g03080	1.00E-78	none
	Bradi2g03090		none
	Bradi2g03100		none
	Bradi2g03110	5.00E-94	none
11_20607	Bradi2g03120	3.00E-154	none
	Bradi2g03130	3.00E-53	none
	Bradi2g03140	4.00E-25	none
	Bradi2g03150		none
	Bradi2g03160	3.00E-23	none
11_10026	Bradi2g03170	3.00E-120	none
	Bradi2g03180	2.00E-168	none
	Bradi2g03190		none
	Bradi2g03200	3.00E-42	none
	Bradi2g03210	9.00E-21	none
	Bradi2g03220		none
	Bradi2g03230		none
	Bradi2g03240		none
	Bradi2g03250		none
	Bradi2g03260	3.00E-49	none
	Bradi2g03270	3.00E-40	none
	Bradi2g03280		none
	Bradi2g03290	3.00E-44	none
	Bradi2g03300	2.00E-166	none
	Bradi2g03310	2.00E-56	none
12_11527	Bradi2g03320	5.00E-112	none
	Bradi2g03330	2.00E-87	none
11_21212	Bradi2g03340	3.00E-178	none
	Bradi2g03350	3.00E-140	none
	Bradi2g03360		none
	Bradi2g03370	3.00E-110	none
11_11222	Bradi2g03380	0	none
	Bradi2g03390	4.00E-43	none
	Bradi2g03400	2.00E-144	none
	Bradi2g03410		none
	Bradi2g03420	2.00E-38	none
	Bradi2g03430	2.00E-24	none
	Bradi2g03440	6.00E-52	none
	Bradi2g03450	3.00E-15	none
	Bradi2g03460	4.00E-93	none
	Bradi2g03470		none
	Bradi2g03480	0	none
	Bradi2g03490		none
	Bradi2g03500	2.00E-77	none
	Bradi2g03510	3.00E-25	none
	Bradi2g03520	8.00E-15	none
	Bradi2g03530	1.00E-114	none
	Bradi2g03540	0	none
	Bradi2g03550		none
11_20794	Bradi2g03560	2.00E-110	none
	Bradi2g03570	1.00E-56	none
	Bradi2g03580	2.00E-123	none
	Bradi2g03590	1.00E-27	none
	Bradi2g03600	3.00E-80	none
	Bradi2g03610	2.00E-28	none
12_30925	Bradi2g03620	2.00E-85	none
	Bradi2g03630	2.00E-31	none
	Bradi2g03640	2.00E-25	none
12_10824	Bradi2g03650	4.00E-21	none
11_20546	Bradi2g03660	2.00E-109	none
	Bradi2g03670	2.00E-125	none
	Bradi2g03680	7.00E-114	none
	Bradi2g03690	5.00E-26	none
	Bradi2g03700	5.00E-42	none
	Bradi2g03710	9.00E-59	none
	Bradi2g03720	4.00E-133	none
	Bradi2g03730	1.00E-73	none
11_10710	Bradi2g03740	0	none
	Bradi2g03750	1.00E-29	none
11_10081	Bradi2g03760	9.00E-99	none
	Bradi2g03770	3.00E-179	none
	Bradi2g03780	2.00E-141	none
	Bradi2g03790	6.00E-148	none
12_30953	Bradi2g03800	8.00E-165	none
11_10002	Bradi2g03810	4.00E-45	none
	Bradi2g03820	2.00E-148	none
	Bradi2g03830	5.00E-28	none
	Bradi2g03840	0	none
	Bradi2g03850	1.00E-68	none
	Bradi2g03860	3.00E-20	none
	Bradi2g03870		none
	Bradi2g03880	2.00E-15	none
	Bradi2g03890	1.00E-59	none
	Bradi2g03900	4.00E-43	none
11_11406	Bradi2g03910	8.00E-55	none
11_11406	Bradi2g03920	2.00E-60	none
	Bradi2g03930		none
11_11002	Bradi2g03940	1.00E-65	none
	Bradi2g03950	7.00E-164	none
	Bradi2g03960	4.00E-119	none
	Bradi2g03970	8.00E-120	none
	Bradi2g03980	2.00E-88	none
	Bradi2g03990	7.00E-78	none
	Bradi2g04000	3.00E-122	none
	Bradi2g04010	1.00E-66	none
	Bradi2g04020	2.00E-59	none
	Bradi2g04030	4.00E-108	none
	Bradi2g04040	1.00E-49	none
	Bradi2g04050	1.00E-33	none
	Bradi2g04060		none
	Bradi2g04070	2.00E-91	none
	Bradi2g04080	2.00E-79	none
	Bradi2g04090	1.00E-17	none
	Bradi2g04100	4.00E-76	none
11_20666	Bradi2g04110	6.00E-94	none
	Bradi2g04120	3.00E-176	none
11_20647	Bradi2g04130	5.00E-167	none
	Bradi2g04140		none
	Bradi2g04150		none
	Bradi2g04160		none
	Bradi2g04170	1.00E-132	none
11_21145	Bradi2g04180	8.00E-160	none
	Bradi2g04190	3.00E-127	none
	Bradi2g04200	2.00E-146	none
	Bradi2g04210	0	none
	Bradi2g04220	6.00E-112	none
	Bradi2g04230	6.00E-70	none
	Bradi2g04240	6.00E-42	none
	Bradi2g04250	4.00E-30	none
	Bradi2g04260	8.00E-28	none
	Bradi2g04270	2.00E-39	none
	Bradi2g04280	5.00E-35	none
	Bradi2g04290	3.00E-148	none
	Bradi2g04300	4.00E-60	none
	Bradi2g04310	9.00E-140	none
	Bradi2g04320	4.00E-44	none
	Bradi2g04330	7.00E-75	none
	Bradi2g04340		none
	Bradi2g04350	2.00E-20	none
11_10536	Bradi2g04360	6.00E-112	none
	Bradi2g04370	5.00E-96	none
11_10863	Bradi2g04380	1.00E-81	none
	Bradi2g04390	1.00E-42	none
	Bradi2g04400	2.00E-47	none
	Bradi2g04410		none
	Bradi2g04420	5.00E-139	none
	Bradi2g04430	5.00E-167	none
	Bradi2g04440	1.00E-96	none
	Bradi2g04450	5.00E-112	none
	Bradi2g04460	0	none
	Bradi2g04470	1.00E-57	none
12_11069	Bradi2g04480	0	none
	Bradi2g04490	2.00E-77	none
	Bradi2g04500	3.00E-24	none
	Bradi2g04510	2.00E-62	none
	Bradi2g04520	2.00E-59	none
	Bradi2g04530	2.00E-66	none
	Bradi2g04540	3.00E-22	none
	Bradi2g04550	5.00E-62	none
	Bradi2g04560	1.00E-54	none
	Bradi2g04570	2.00E-56	none
	Bradi2g04580	0	none
	Bradi2g04590	3.00E-26	none
	Bradi2g04600	3.00E-30	none
	Bradi2g04610	1.00E-160	none
	Bradi2g04620	5.00E-120	none
	Bradi2g04630		none
	Bradi2g04640	8.00E-56	none
	Bradi2g04650	4.00E-134	none
12_10241	Bradi2g04660	2.00E-120	none
	Bradi2g04670	4.00E-20	none
	Bradi2g04680	1.00E-64	none
	Bradi2g04690	4.00E-93	none
	Bradi2g04700	3.00E-90	none
	Bradi2g04710		none
	Bradi2g04720	0	none
	Bradi2g04730		none
11_11405	Bradi2g04740	5.00E-44	none
	Bradi2g04750	2.00E-63	none
	Bradi2g04760	0	none
	Bradi2g04770		none
	Bradi2g04780	9.00E-48	none
	Bradi2g04790	6.00E-11	none
	Bradi2g04800	6.00E-18	none
	Bradi2g04810	2.00E-41	none
	Bradi2g04820	1.00E-177	none
	Bradi2g04830	0	none
11_21250	Bradi2g04840	5.00E-92	none
	Bradi2g04850	0	none
	Bradi2g04860	0	none
	Bradi2g04870	1.00E-86	none
	Bradi2g04880		none
12_30709	Bradi2g04890	7.00E-86	none
	Bradi2g04900	3.00E-139	none
	Bradi2g04910	1.00E-59	none
	Bradi2g04920	2.00E-72	none
	Bradi2g04930	2.00E-68	none
	Bradi2g04940	5.00E-20	none
12_30604	Bradi2g04950	0	none
12_30609	Bradi2g04960	0	none
	Bradi2g04970	3.00E-111	none
	Bradi2g04980	9.00E-136	none
	Bradi2g04990	1.00E-136	none
	Bradi2g05000	1.00E-161	none
11_21093	Bradi2g05010	5.00E-11	none
	Bradi2g05020	5.00E-109	none
	Bradi2g05030	3.00E-109	none
	Bradi2g05040	6.00E-70	none
	Bradi2g05050	0	none
11_11098	Bradi2g05060	6.00E-85	none
	Bradi2g05070	1.00E-48	none
	Bradi2g05080	5.00E-147	none
	Bradi2g05090	3.00E-59	none
	Bradi2g05100	2.00E-14	none
	Bradi2g05110		none
	Bradi2g05120		none
	Bradi2g05130	1.00E-128	none
	Bradi2g05140	4.00E-45	none
	Bradi2g05150		none
	Bradi2g05160	5.00E-52	none
	Bradi2g05170	9.00E-35	none
12_31372	Bradi2g05180	2.00E-49	none
	Bradi2g05190	3.00E-107	none
	Bradi2g05200	5.00E-44	none
	Bradi2g05210	3.00E-26	none
	Bradi2g05220	2.00E-129	none
12_10532	Bradi2g05230	0	none
	Bradi2g05240	0	none
	Bradi2g05250	8.00E-148	none
	Bradi2g05260	1.00E-63	none
	Bradi2g05270	2.00E-58	none
	Bradi2g05280		none
	Bradi2g05290	7.00E-111	none
	Bradi2g05300	8.00E-21	none
11_21101	Bradi2g05310	8.00E-48	none
	Bradi2g05320	5.00E-104	none
11_21189	Bradi2g05330	6.00E-172	none
	Bradi2g05340		none
	Bradi2g05350	5.00E-28	none
	Bradi2g05360	3.00E-72	none
	Bradi2g05370	3.00E-19	none
	Bradi2g05380	7.00E-69	none
12_30737	Bradi2g05390	0	none
12_30474	Bradi2g05400	1.00E-86	none
	Bradi2g05410	2.00E-47	none
	Bradi2g05420	6.00E-104	none
	Bradi2g05430	0	none
	Bradi2g05440	5.00E-55	none
	Bradi2g05450	3.00E-51	none
	Bradi2g05460	0	none
	Bradi2g05470		none
11_20719	Bradi2g05480	0	none
	Bradi2g05490	2.00E-118	none
	Bradi2g05500	2.00E-49	none
	Bradi2g05510	2.00E-33	none
	Bradi2g05520	2.00E-46	none
	Bradi2g05530	0	none
	Bradi2g05540	2.00E-91	none
	Bradi2g05550		none
	Bradi2g05560	0	none
	Bradi2g05570	1.00E-61	none
	Bradi2g05580	1.00E-68	none
	Bradi2g05590	1.00E-58	none
	Bradi2g05600	1.00E-178	none
	Bradi2g05610	8.00E-33	none
	Bradi2g05620	0	none
11_10584	Bradi2g05630	2.00E-22	none
	Bradi2g05640	9.00E-82	none
	Bradi2g05650	1.00E-68	none
	Bradi2g05660	5.00E-139	none
	Bradi2g05670	2.00E-161	none
	Bradi2g05680		none
	Bradi2g05690	6.00E-64	none
	Bradi2g05700	1.00E-72	none
11_20356	Bradi2g05710	0	none
	Bradi2g05720	0	none
	Bradi2g05730	5.00E-166	none
	Bradi2g05740	2.00E-65	none
11_10601	Bradi2g05750	2.00E-127	none
12_30064	Bradi2g05760	2.00E-86	none
	Bradi2g05770	5.00E-137	none
	Bradi2g05780	0	none
	Bradi2g05790	3.00E-96	none
	Bradi2g05800	3.00E-11	none
	Bradi2g05810	2.00E-97	none
12_30591	Bradi2g05820	1.00E-52	none
	Bradi2g05830	3.00E-117	none
	Bradi2g05840	1.00E-125	none
11_20387	Bradi2g05850	2.00E-63	none
	Bradi2g05860	1.00E-46	none
	Bradi2g05870	2.00E-45	none
11_21494	Bradi2g05880	2.00E-39	none
	Bradi2g05890	3.00E-57	none
	Bradi2g05900	1.00E-71	none
	Bradi2g05910	7.00E-96	none
	Bradi2g05920		none
	Bradi2g05930	2.00E-67	none
	Bradi2g05940	6.00E-86	none
	Bradi2g05950	2.00E-19	none
	Bradi2g05960	1.00E-66	none
	Bradi2g05970	8.00E-90	none
12_30785	Bradi2g05980	2.00E-80	none
	Bradi2g05990	3.00E-171	none
	Bradi2g06000	2.00E-109	none
	Bradi2g06010	2.00E-44	none
12_31388	Bradi2g06020	3.00E-42	none
	Bradi2g06030	1.00E-53	none
	Bradi2g06040	2.00E-39	none
11_10023	Bradi2g06050	0	none
	Bradi2g06060	0	none
	Bradi2g06070	4.00E-19	none
	Bradi2g06080	7.00E-90	none
	Bradi2g06090	1.00E-23	none
	Bradi2g06100	1.00E-63	none
	Bradi2g06110	5.00E-40	none
	Bradi2g06120	1.00E-160	none
	Bradi2g06130	7.00E-62	none
	Bradi2g06140	8.00E-13	none
	Bradi2g06150	7.00E-55	none
	Bradi2g06160	7.00E-138	none
	Bradi2g06170	3.00E-21	none
	Bradi2g06180	4.00E-32	none
	Bradi2g06190	5.00E-114	none
	Bradi2g06200	1.00E-127	none
	Bradi2g06210	2.00E-130	none
11_21402	Bradi2g06220	8.00E-16	none
	Bradi2g06230	1.00E-155	none
	Bradi2g06240	4.00E-92	none
	Bradi2g06250	1.00E-52	none
12_30721	Bradi2g06260	0	none
	Bradi2g06270	1.00E-21	none
	Bradi2g06280	3.00E-27	none
11_20694	Bradi2g06290	2.00E-23	none
	Bradi2g06300	9.00E-26	none
	Bradi2g06310	3.00E-94	none
	Bradi2g06320		none
	Bradi2g06330	1.00E-115	none
	Bradi2g06340	5.00E-121	none
	Bradi2g06350	4.00E-13	none
	Bradi2g06360	5.00E-125	none
	Bradi2g06370	1.00E-57	none
	Bradi2g06380		none
	Bradi2g06390	0	none
	Bradi2g06400	4.00E-135	none
	Bradi2g06410		none
	Bradi2g06420	3.00E-54	none
	Bradi2g06430	2.00E-104	none
	Bradi2g06440	3.00E-51	none
	Bradi2g06450	2.00E-112	none
	Bradi2g06460	2.00E-43	none
	Bradi2g06470	3.00E-90	none
	Bradi2g06480	5.00E-25	none
12_30467	Bradi2g06490	0	none
	Bradi2g06500	1.00E-52	none
	Bradi2g06510	3.00E-103	none
12_20264	Bradi2g06520	4.00E-155	none
	Bradi2g06530	2.00E-95	none
	Bradi2g06540	1.00E-13	none
	Bradi2g06550	0	none
	Bradi2g06560	4.00E-71	none
	Bradi2g06570	5.00E-152	none
	Bradi2g06580	8.00E-155	none
	Bradi2g06590	0	none
	Bradi2g06600	1.00E-152	none
	Bradi2g06610	9.00E-109	none
12_31064	Bradi2g06620	0	none
	Bradi2g06630	6.00E-143	none
	Bradi2g06640		none
	Bradi2g06650	4.00E-116	none
	Bradi2g06660	2.00E-25	none
	Bradi2g06670	1.00E-82	none
	Bradi2g06680	1.00E-168	none
	Bradi2g06690	2.00E-28	none
	Bradi2g06700	3.00E-60	none
	Bradi2g06710		none
	Bradi2g06720	4.00E-35	none
	Bradi2g06730	2.00E-100	none
	Bradi2g06740	7.00E-66	none
	Bradi2g06750	5.00E-100	none
	Bradi2g06760	1.00E-32	none
	Bradi2g06770	7.00E-93	none
	Bradi2g06780		none
	Bradi2g06790	1.00E-54	none
	Bradi2g06800	4.00E-119	none
	Bradi2g06810	1.00E-150	none
	Bradi2g06820		none
	Bradi2g06830	0	none
	Bradi2g06840	9.00E-49	none
	Bradi2g06850	5.00E-25	none
	Bradi2g06860	2.00E-20	none
	Bradi2g06870	5.00E-36	none
	Bradi2g06880	7.00E-44	none
12_30923	Bradi2g06890	5.00E-155	none
12_31015	Bradi2g06900	4.00E-117	none
	Bradi2g06910	4.00E-157	none
	Bradi2g06920		none
	Bradi2g06930	4.00E-18	none
11_20290	Bradi2g06940	6.00E-146	none
	Bradi2g06950	0	none
	Bradi2g06960	2.00E-11	none
	Bradi2g06970	1.00E-80	none
	Bradi2g06980	4.00E-116	none
	Bradi2g06990	6.00E-165	none
12_21475	Bradi2g07000	7.00E-108	none
	Bradi2g07010	4.00E-118	none
	Bradi2g07020	2.00E-52	none
12_30583	Bradi2g07030	0	none
	Bradi2g07040	0	none
	Bradi2g07050	2.00E-11	none
	Bradi2g07060	3.00E-171	none
	Bradi2g07070	7.00E-51	none
	Bradi2g07080	1.00E-158	none
	Bradi2g07090	2.00E-30	none
	Bradi2g07100	5.00E-71	none
	Bradi2g07110	8.00E-133	none
	Bradi2g07120	1.00E-80	none
	Bradi2g07130		none
12_30717	Bradi2g07140	5.00E-11	none
	Bradi2g07150	4.00E-131	none
	Bradi2g07160	3.00E-66	none
	Bradi2g07170	2.00E-57	none
	Bradi2g07180		none
	Bradi2g07190		none
	Bradi2g07200	1.00E-20	none
	Bradi2g07210		none
	Bradi2g07220		none
	Bradi2g07230	1.00E-136	none
	Bradi2g07240	1.00E-30	none
	Bradi2g07250	4.00E-26	none
	Bradi2g07260	7.00E-102	none
	Bradi2g07270	4.00E-24	none
	Bradi2g07280	1.00E-10	none
	Bradi2g07290	2.00E-107	none
	Bradi2g07300	7.00E-144	none
	Bradi2g07310	7.00E-98	none
	Bradi2g07320	5.00E-92	none
	Bradi2g07330	2.00E-109	none
	Bradi2g07340	1.00E-65	none
	Bradi2g07350	1.00E-33	none
	Bradi2g07360		none
	Bradi2g07370	6.00E-32	none
	Bradi2g07380	2.00E-33	none
	Bradi2g07390	5.00E-108	none
	Bradi2g07400	7.00E-79	none
	Bradi2g07410	3.00E-32	none
	Bradi2g07420	6.00E-41	none
	Bradi2g07430	2.00E-97	none
	Bradi2g07440	5.00E-35	none
	Bradi2g07450		none
	Bradi2g07460		none
	Bradi2g07470	1.00E-170	none
	Bradi2g07480	4.00E-70	none
	Bradi2g07490	3.00E-86	none
	Bradi2g07500	2.00E-13	none
	Bradi2g07510	6.00E-119	none
11_11313	Bradi2g07520	2.00E-169	none
	Bradi2g07530	3.00E-17	none
	Bradi2g07540	3.00E-79	none
	Bradi2g07550	5.00E-115	none
	Bradi2g07560	0	none
	Bradi2g07570	3.00E-117	none
12_21449	Bradi2g07580	5.00E-51	none
11_20455	Bradi2g07590	7.00E-74	none
12_21449	Bradi2g07600	5.00E-51	none
	Bradi2g07610	3.00E-70	none
	Bradi2g07620	1.00E-114	none
	Bradi2g07630	2.00E-97	none
	Bradi2g07640	2.00E-51	none
	Bradi2g07650	1.00E-109	none
	Bradi2g07660	2.00E-125	none
	Bradi2g07670	2.00E-71	none
	Bradi2g07680	4.00E-62	none
	Bradi2g07690	0	none
	Bradi2g07700	2.00E-150	none
	Bradi2g07710	2.00E-35	none
	Bradi2g07720	1.00E-22	none
	Bradi2g07730	3.00E-121	none
	Bradi2g07740	2.00E-72	none
	Bradi2g07750	3.00E-20	none
	Bradi2g07760	5.00E-145	none
	Bradi2g07770	3.00E-95	none
	Bradi2g07780	1.00E-21	none
	Bradi2g07790	0	none
	Bradi2g07800	1.00E-88	none
12_31138	Bradi2g07810	1.00E-48	none
	Bradi2g07820	1.00E-129	none
12_31138	Bradi2g07830	2.00E-66	none
	Bradi2g07840	1.00E-17	none
	Bradi2g07850	3.00E-39	none
	Bradi2g07860	0	none
	Bradi2g07870	7.00E-152	none
	Bradi2g07880		none
	Bradi2g07890	8.00E-174	none
11_11313	Bradi2g07900	2.00E-45	none
	Bradi2g07910	3.00E-61	none
11_11313	Bradi2g07920	6.00E-35	none
	Bradi2g07930		none
	Bradi2g07940	8.00E-43	none
	Bradi2g07950	2.00E-80	none
12_20981	Bradi2g07960	1.00E-146	none
11_21109	Bradi2g07970	8.00E-154	none
11_21437	Bradi2g07980	6.00E-26	none
	Bradi2g07990	3.00E-15	none
	Bradi2g08000	1.00E-25	none
	Bradi2g08010	8.00E-120	none
	Bradi2g08020	8.00E-168	none
11_21197	Bradi2g08030	6.00E-51	none
	Bradi2g08040	4.00E-75	none
12_30680	Bradi2g08050	2.00E-97	none
	Bradi2g08060	3.00E-67	none
	Bradi2g08070	0	none
	Bradi2g08080	7.00E-148	none
	Bradi2g08090	3.00E-53	none
	Bradi2g08100	7.00E-39	none
	Bradi2g08110	6.00E-20	none
12_11047	Bradi2g08120	3.00E-115	none
	Bradi2g08130	6.00E-37	none
	Bradi2g08140	3.00E-65	none
12_31165	Bradi2g08150	4.00E-27	none
	Bradi2g08160	2.00E-86	none
	Bradi2g08170	4.00E-137	none
	Bradi2g08180	2.00E-92	none
	Bradi2g08190	0	none
	Bradi2g08200	3.00E-36	none
	Bradi2g08210	3.00E-68	none
	Bradi2g08220	7.00E-44	none
	Bradi2g08230	3.00E-121	none
	Bradi2g08240	7.00E-105	none
	Bradi2g08250	2.00E-167	none
	Bradi2g08260	1.00E-60	none
	Bradi2g08270	1.00E-67	none
	Bradi2g08280	6.00E-169	none
	Bradi2g08290	1.00E-41	none
11_10584	Bradi2g08300	9.00E-143	none
	Bradi2g08310	8.00E-53	none
	Bradi2g08320	3.00E-34	none
	Bradi2g08330	2.00E-150	none
12_10233	Bradi2g08340	3.00E-173	none
	Bradi2g08350	6.00E-123	none
	Bradi2g08360	1.00E-77	none
	Bradi2g08370	3.00E-27	none
	Bradi2g08380	0	none
	Bradi2g08390	0	none
	Bradi2g08400	8.00E-30	none
	Bradi2g08410	3.00E-129	none
	Bradi2g08420	4.00E-26	none
	Bradi2g08430	1.00E-29	none
	Bradi2g08440	2.00E-30	none
	Bradi2g08450	3.00E-48	none
	Bradi2g08460	3.00E-72	none
	Bradi2g08470	2.00E-49	none
	Bradi2g08480	3.00E-38	none
	Bradi2g08490	2.00E-81	none
	Bradi2g08500	0	none
	Bradi2g08510	3.00E-83	none
	Bradi2g08520	2.00E-71	none
	Bradi2g08530	3.00E-61	none
	Bradi2g08540	4.00E-16	none
	Bradi2g08550		none
	Bradi2g08560	2.00E-47	none
	Bradi2g08570		none
	Bradi2g08580	4.00E-41	none
	Bradi2g08590		none
	Bradi2g08600	1.00E-43	none
	Bradi2g08610		none
	Bradi2g08620	5.00E-38	none
	Bradi2g08630	5.00E-26	none
	Bradi2g08640	1.00E-23	none
	Bradi2g08650		none
	Bradi2g08660	9.00E-83	none
	Bradi2g08670	3.00E-28	none
	Bradi2g08680	4.00E-15	none
	Bradi2g08690	3.00E-16	none
12_20108	Bradi2g08700	0	none
11_11509	Bradi2g08710	2.00E-100	none
	Bradi2g08720	2.00E-34	none
	Bradi2g08730	2.00E-15	none
	Bradi2g08740	3.00E-39	none
	Bradi2g08750	4.00E-88	none
	Bradi2g08760	1.00E-94	none
	Bradi2g08770		none
	Bradi2g08780	2.00E-71	none
12_11265	Bradi2g08790	1.00E-105	none
	Bradi2g08800	2.00E-36	none
	Bradi2g08810	2.00E-59	none
12_30747	Bradi2g08820	3.00E-49	none
	Bradi2g08830	0	none
	Bradi2g08840	2.00E-76	none
	Bradi2g08850	2.00E-19	none
	Bradi2g08860	1.00E-83	none
	Bradi2g08870		none
	Bradi2g08880	1.00E-13	none
11_11502	Bradi2g08890	0	none
	Bradi2g08900	0	none
	Bradi2g08910	2.00E-72	none
	Bradi2g08920	0	none
	Bradi2g08930	1.00E-144	none
	Bradi2g08940	1.00E-87	none
	Bradi2g08950	5.00E-42	none
12_10391	Bradi2g08960	0	none
	Bradi2g08970	6.00E-34	none
	Bradi2g08980	0	none
	Bradi2g08990	1.00E-16	none
	Bradi2g09000	0	none
	Bradi2g09010	1.00E-174	none
	Bradi2g09020		none
	Bradi2g09030	2.00E-38	none
	Bradi2g09040		none
	Bradi2g09050	9.00E-20	none
	Bradi2g09060	8.00E-89	none
	Bradi2g09070	2.00E-95	none
	Bradi2g09080	0	none
12_11318	Bradi2g09090	2.00E-80	none
	Bradi2g09100	5.00E-16	none
	Bradi2g09110	6.00E-53	none
	Bradi2g09120	7.00E-119	none
	Bradi2g09130	1.00E-166	none
	Bradi2g09140	2.00E-32	none
	Bradi2g09150		none
	Bradi2g09160	3.00E-55	none
	Bradi2g09170	4.00E-119	none
	Bradi2g09180	1.00E-175	none
11_20920	Bradi2g09190	4.00E-100	none
	Bradi2g09200	1.00E-114	none
	Bradi2g09210	1.00E-52	none
	Bradi2g09220	8.00E-73	none
	Bradi2g09230	4.00E-77	none
	Bradi2g09240	3.00E-69	none
	Bradi2g09250		none
