locus barley	locus artificial data	e-value	description
12_30248	locus 3_0145	0	none
11_20590	locus 3_0146	1.00E-171	none
11_21274	locus 3_0147	1.00E-103	none
12_30341	locus 3_0148	1.00E-133	none
12_20027	locus 3_0149	2.00E-72	none
12_31461	locus 3_0150	0.0000002	none
11_10551	locus 3_0151	9.00E-32	none
11_10625	locus 3_0152	1.00E-102	none
11_11262	locus 3_0153	0	none
11_10826	locus 3_0154	5.00E-99	none
11_20494	locus 3_0155	4.00E-63	none
12_31209	locus 3_0156	0	none
12_30352	locus 3_0157	1.00E-175	none
12_30914	locus 3_0158	0	none
11_10566	locus 3_0159	0	none
12_20518	locus 3_0160	1.00E-37	none
11_11023	locus 3_0161	7.00E-84	none
11_10315	locus 3_0162	1.00E-113	none
12_10766	locus 3_0163	1.00E-115	none
12_10447	locus 3_0164	3.00E-13	none
11_10714	locus 3_0165	0	none
11_21250	locus 3_0166	1.00E-123	none
12_10487	locus 3_0167	2.00E-58	none
12_10950	locus 3_0168	2.00E-74	none
11_11380	locus 3_0169	8.00E-83	none
11_21346	locus 3_0170	1.00E-117	none
11_20994	locus 3_0171	1.00E-67	none
12_10181	locus 3_0172	0	none
11_20293	locus 3_0173	0	none
11_21299	locus 3_0174	1.00E-119	none
11_20943	locus 3_0175	1.00E-117	none
11_10791	locus 3_0176	0	none
11_21436	locus 3_0177	4.00E-58	none
12_30823	locus 3_0178	1.00E-147	none
12_31527	locus 3_0179	2.00E-33	none
11_10072	locus 3_0180	0	none
12_31506	locus 3_0181	2.00E-53	none
12_31300	locus 3_0182	1.00E-172	none
12_10937	locus 3_0183	7.00E-44	none
11_10329	locus 3_0184	8.00E-84	none
12_31180	locus 3_0185	1.00E-103	none
11_21099	locus 3_0186	0	none
11_21453	locus 3_0187	5.00E-27	none
11_20561	locus 3_0188	1.00E-130	none
11_10085	locus 3_0189	1.00E-112	none
12_11050	locus 3_0190	1.00E-116	none
11_20681	locus 3_0191	1.00E-136	none
11_21414	locus 3_0192	1.00E-12	none
12_21496	locus 3_0193	1.00E-60	none
12_30378	locus 3_0194	1.00E-52	none
12_30102	locus 3_0195	0	none
12_31428	locus 3_0196	2.00E-21	none
11_20858	locus 3_0197	0	none
12_20090	locus 3_0198	0	none
11_20797	locus 3_0199	4.00E-71	none
12_31448	locus 3_0200	2.00E-11	none
12_10103	locus 3_0201	1.00E-91	none
12_11434	locus 3_0202	0.0000005	none
12_10173	locus 3_0203	8.00E-35	none
11_11453	locus 3_0204	1.00E-123	none
11_20953	locus 3_0205	1.00E-136	none
12_31409	locus 3_0206	1.00E-155	none
11_20529	locus 3_0207	0	none
11_21190	locus 3_0208	0	none
12_30297	locus 3_0209	1.00E-157	none
11_21398	locus 3_0210	0	none
12_11005	locus 3_0211	0	none
11_21027	locus 3_0212	2.00E-76	none
12_30818	locus 3_0213	6.00E-64	none
11_20976	locus 3_0214	3.00E-37	none
11_10112	locus 3_0215	3.00E-30	none
11_10886	locus 3_0216	1.00E-130	none
12_30910	locus 3_0217	1.00E-139	none
12_11310	locus 3_0218	6.00E-64	none
11_20595	locus 3_0219	0	none
12_30915	locus 3_0220	0	none
12_10571	locus 3_0221	1.00E-151	none
12_30113	locus 3_0222	0	none
11_20172	locus 3_0223	3.00E-74	none
11_20742	locus 3_0224	0	none
11_10565	locus 3_0225	1.00E-145	none
11_20982	locus 3_0226	2.00E-31	none
12_30192	locus 4_0001	3.00E-78	none
11_20552	locus 4_0002	0	none
11_10559	locus 4_0003	1.00E-123	none
12_30920	locus 4_0004	0	none
11_20794	locus 4_0005	0	none
12_11237	locus 4_0006	1.00E-106	none
11_20968	locus 4_0007	3.00E-96	none
11_20455	locus 4_0008	1.00E-161	none
12_30284	locus 4_0009	1.00E-97	none
11_20607	locus 4_0010	0	none
11_10026	locus 4_0011	1.00E-122	none
12_11414	locus 4_0012	4.00E-35	none
12_30571	locus 4_0013	1.00E-124	none
12_21268	locus 4_0014	8.00E-32	none
12_11527	locus 4_0015	1.00E-107	none
12_30431	locus 4_0016	0	none
12_30925	locus 4_0017	8.00E-91	none
11_10672	locus 4_0018	0	none
12_10968	locus 4_0019	9.00E-94	none
11_10081	locus 4_0020	1.00E-96	none
11_10710	locus 4_0021	0	none
11_10825	locus 4_0022	1.00E-179	none
11_20410	locus 4_0023	1.00E-113	none
12_30953	locus 4_0024	1.00E-179	none
12_31298	locus 4_0025	5.00E-85	none
12_31159	locus 4_0026	1.00E-165	none
11_10863	locus 4_0027	3.00E-72	none
11_20193	locus 4_0028	5.00E-94	none
12_10114	locus 4_0029	5.00E-94	none
11_21145	locus 4_0030	1.00E-136	none
11_20666	locus 4_0031	1.00E-84	none
11_20647	locus 4_0032	0	none
11_21533	locus 4_0033	2.00E-76	none
11_11002	locus 4_0034	1.00E-148	none
12_11117	locus 4_0035	0	none
12_30913	locus 4_0036	0	none
11_21259	locus 4_0037	2.00E-79	none
12_21506	locus 4_0038	1.00E-119	none
12_31475	locus 4_0039	6.00E-56	none
12_30785	locus 4_0040	4.00E-78	none
11_10601	locus 4_0041	1.00E-157	none
12_30064	locus 4_0042	4.00E-95	none
11_20356	locus 4_0043	0	none
12_10532	locus 4_0044	0	none
11_21101	locus 4_0045	3.00E-53	none
11_21189	locus 4_0046	1.00E-147	none
11_20328	locus 4_0047	1.00E-66	none
12_30737	locus 4_0048	0	none
11_20719	locus 4_0049	0	none
12_31009	locus 4_0050	0	none
12_30609	locus 4_0051	0	none
12_30474	locus 4_0052	5.00E-85	none
12_31122	locus 4_0053	2.00E-95	none
12_11069	locus 4_0054	0	none
12_30467	locus 4_0055	0	none
12_20264	locus 4_0056	1.00E-160	none
12_30721	locus 4_0057	1.00E-147	none
12_11102	locus 4_0058	1.00E-102	none
12_30583	locus 4_0059	1.00E-177	none
12_30922	locus 4_0060	1.00E-167	none
12_30923	locus 4_0061	1.00E-167	none
12_31015	locus 4_0062	1.00E-113	none
12_11387	locus 4_0063	5.00E-69	none
11_11313	locus 4_0064	0	none
12_11511	locus 4_0065	4.00E-78	none
11_21109	locus 4_0066	1.00E-142	none
11_21197	locus 4_0067	7.00E-53	none
12_30680	locus 4_0068	1.00E-105	none
12_10233	locus 4_0069	0	none
11_10380	locus 4_0070	9.00E-43	none
11_11258	locus 4_0071	9.00E-52	none
12_30799	locus 4_0072	7.00E-84	none
11_21129	locus 4_0073	8.00E-86	none
11_20866	locus 4_0074	1.00E-100	none
12_30618	locus 4_0075	1.00E-179	none
11_11086	locus 4_0076	1.00E-111	none
12_31008	locus 4_0077	6.00E-61	none
12_20574	locus 4_0078	3.00E-83	none
12_21475	locus 4_0079	1.00E-102	none
12_11265	locus 4_0080	2.00E-99	none
12_30262	locus 4_0081	4.00E-49	none
11_11502	locus 4_0082	0	none
12_10391	locus 4_0083	0	none
12_11295	locus 4_0084	1.00E-134	none
11_11099	locus 4_0085	0	none
12_21411	locus 4_0086	3.00E-89	none
11_10137	locus 4_0087	0	none
12_11518	locus 4_0088	0	none
11_20970	locus 4_0089	0	none
12_30318	locus 4_0090	2.00E-90	none
12_30130	locus 4_0091	1.00E-179	none
11_10328	locus 4_0092	1.00E-106	none
12_30039	locus 4_0093	0	none
12_31372	locus 4_0094	0	none
12_20591	locus 4_0095	1.00E-146	none
11_11501	locus 4_0096	0	none
12_10784	locus 4_0097	1.00E-132	none
12_10155	locus 4_0098	7.00E-11	none
12_30809	locus 4_0099	1.00E-170	none
11_10365	locus 4_0100	1.00E-52	none
11_10008	locus 4_0101	1.00E-141	none
11_20428	locus 4_0102	0	none
11_20856	locus 4_0103	2.00E-63	none
11_21062	locus 4_0104	1.00E-99	none
11_20796	locus 4_0105	3.00E-76	none
11_10456	locus 4_0106	2.00E-32	none
11_20333	locus 4_0107	1.00E-164	none
11_11124	locus 4_0108	1.00E-155	none
11_20583	locus 4_0109	0	none
12_30126	locus 4_0110	0	none
11_21472	locus 4_0111	2.00E-71	none
11_20288	locus 4_0112	0	none
11_10437	locus 4_0113	1.00E-141	none
11_11283	locus 4_0114	0	none
11_21147	locus 4_0115	8.00E-92	none
11_11337	locus 4_0116	4.00E-77	none
11_20801	locus 4_0117	1.00E-169	none
12_11482	locus 4_0118	0	none
11_20102	locus 4_0119	6.00E-98	none
11_20890	locus 4_0120	1.00E-139	none
11_21435	locus 4_0121	1.00E-159	none
11_11125	locus 4_0122	0	none
12_20721	locus 4_0123	0	none
12_31214	locus 4_0124	9.00E-69	none
11_20002	locus 4_0125	0	none
11_10925	locus 4_0126	1.00E-95	none
11_10620	locus 4_0127	0	none
11_10966	locus 4_0128	0	none
11_20486	locus 4_0129	1.00E-173	none
11_10349	locus 4_0130	2.00E-63	none
11_10224	locus 4_0131	1.00E-118	none
12_31281	locus 4_0132	5.00E-64	none
12_31017	locus 4_0133	7.00E-19	none
11_10926	locus 4_0134	5.00E-26	none
12_31368	locus 4_0135	2.00E-32	none
11_10011	locus 4_0136	4.00E-33	none
11_20439	locus 4_0137	2.00E-62	none
11_11530	locus 4_0138	0	none
11_20444	locus 4_0139	0	none
12_20108	locus 4_0140	0	none
11_11401	locus 4_0141	1.00E-101	none
11_10225	locus 4_0142	1.00E-108	none
12_31393	locus 4_0143	1.00E-104	none
11_20276	locus 4_0144	1.00E-110	none
12_31016	locus 4_0145	6.00E-88	none
11_11016	locus 4_0146	8.00E-86	none
12_30009	locus 4_0147	0	none
11_20995	locus 4_0148	1.00E-136	none
11_21511	locus 4_0149	1.00E-105	none
12_10678	locus 4_0150	0	none
11_20325	locus 4_0151	1.00E-78	none
12_21064	locus 4_0152	1.00E-107	none
12_10850	locus 4_0153	0	none
11_10373	locus 4_0154	0	none
11_10653	locus 4_0155	0	none
11_10158	locus 4_0156	0	none
12_30829	locus 4_0157	0	none
11_10005	locus 4_0158	1.00E-150	none
11_10728	locus 4_0159	1.00E-152	none
12_20863	locus 4_0160	2.00E-63	none
12_11150	locus 4_0161	1.00E-108	none
12_30088	locus 4_0162	0	none
12_11084	locus 4_0163	0	none
11_11191	locus 4_0164	6.00E-61	none
11_21120	locus 4_0165	1.00E-73	none
11_10281	locus 4_0166	0	none
11_20704	locus 4_0167	0	none
11_21502	locus 4_0168	0	none
12_11152	locus 4_0169	0	none
12_30005	locus 4_0170	0	none
11_10839	locus 4_0171	1.00E-116	none
11_11391	locus 4_0172	9.00E-72	none
11_10335	locus 4_0173	1.00E-152	none
12_11284	locus 4_0174	1.00E-165	none
12_20608	locus 4_0175	0	none
12_31153	locus 4_0176	1.00E-130	none
11_20931	locus 4_0177	4.00E-95	none
12_30616	locus 4_0178	0	none
12_30788	locus 4_0179	1.00E-146	none
11_11394	locus 4_0180	0	none
11_10172	locus 4_0181	1.00E-118	none
12_31242	locus 4_0182	1.00E-123	none
11_20017	locus 4_0183	4.00E-78	none
11_20351	locus 4_0184	1.00E-50	none
11_11314	locus 4_0185	3.00E-79	none
11_20273	locus 4_0186	0	none
11_20877	locus 4_0187	0	none
11_11241	locus 4_0188	0	none
12_31323	locus 4_0189	1.00E-59	none
12_30754	locus 4_0190	1.00E-137	none
11_20694	locus 4_0191	9.00E-63	none
12_31529	locus 4_0192	6.00E-55	none
12_10452	locus 4_0193	0	none
12_31356	locus 4_0194	1.00E-116	none
11_10350	locus 4_0195	1.00E-115	none
11_20521	locus 4_0196	8.00E-35	none
11_10276	locus 4_0197	3.00E-78	none
12_30399	locus 4_0198	1.00E-28	none
11_20566	locus 4_0199	6.00E-64	none
11_20124	locus 4_0200	2.00E-37	none
11_20778	locus 4_0201	1.00E-121	none
11_20695	locus 4_0202	0	none
12_10609	locus 4_0203	0	none
11_10683	locus 4_0204	1.00E-12	none
12_30743	locus 4_0205	5.00E-96	none
12_31346	locus 4_0206	2.00E-51	none
11_10047	locus 4_0207	0	none
11_20597	locus 4_0208	7.00E-46	none
11_20362	locus 4_0209	0	none
12_11454	locus 4_0210	0	none
12_21194	locus 4_0211	1.00E-155	none
11_20115	locus 4_0212	5.00E-59	none
12_30170	locus 4_0213	1.00E-163	none
11_21163	locus 4_0214	1.00E-87	none
12_20849	locus 4_0215	0	none
12_30677	locus 4_0216	3.00E-65	none
11_21358	locus 4_0217	3.00E-68	none
11_20093	locus 4_0218	4.00E-75	none
12_31262	locus 4_0219	1.00E-42	none
12_11524	locus 4_0220	4.00E-68	none
12_30278	locus 4_0221	1.00E-132	none
12_11517	locus 4_0222	0	none
11_20063	locus 4_0223	9.00E-66	none
12_11138	locus 4_0224	0	none
11_21348	locus 4_0225	8.00E-76	none
12_31299	locus 4_0226	1.00E-167	none
11_10628	locus 4_0227	7.00E-39	none
11_10444	locus 4_0228	4.00E-60	none
11_21505	locus 4_0229	1.00E-134	none
11_21294	locus 4_0230	6.00E-60	none
11_20136	locus 4_0231	7.00E-92	none
12_31018	locus 4_0232	0	none
12_30663	locus 4_0233	1.00E-118	none
12_10134	locus 4_0234	5.00E-82	none
12_30325	locus 4_0235	2.00E-54	none
11_20659	locus 4_0236	3.00E-62	none
11_10253	locus 4_0237	3.00E-58	none
12_10583	locus 4_0238	3.00E-62	none
11_11021	locus 4_0239	7.00E-85	none
11_10747	locus 4_0240	0	none
12_31367	locus 4_0241	0	none
12_30250	locus 4_0242	2.00E-77	none
12_30090	locus 4_0243	1.00E-149	none
12_30640	locus 4_0244	1.00E-104	none
11_20628	locus 4_0245	0	none
11_20130	locus 4_0246	1.00E-117	none
12_10074	locus 4_0247	1.00E-117	none
12_30909	locus 4_0248	1.00E-117	none
11_20999	locus 4_0249	1.00E-165	none
11_21438	locus 4_0250	3.00E-59	none
11_20626	locus 4_0251	0	none
11_10515	locus 4_0252	1.00E-171	none
11_10184	locus 4_0253	1.00E-111	none
11_21083	locus 4_0254	1.00E-140	none
11_21381	locus 4_0255	4.00E-50	none
11_21517	locus 4_0256	0	none
12_30342	locus 4_0257	2.00E-22	none
12_10344	locus 4_0258	1.00E-105	none
12_10662	locus 4_0259	0	none
11_21495	locus 4_0260	0	none
11_21493	locus 4_0261	1.00E-128	none
12_30119	locus 4_0262	3.00E-52	none
11_20009	locus 4_0263	0	none
11_21513	locus 4_0264	1.00E-113	none
11_21161	locus 4_0265	1.00E-124	none
11_21212	locus 4_0266	0	none
12_11392	locus 4_0267	1.00E-113	none
12_21081	locus 4_0268	1.00E-163	none
11_20023	locus 4_0269	8.00E-92	none
12_30423	locus 4_0270	1.00E-110	none
11_10312	locus 4_0271	0	none
11_20523	locus 4_0272	1.00E-117	none
11_11503	locus 4_0273	4.00E-25	none
12_30276	locus 4_0274	1.00E-132	none
11_21277	locus 4_0275	4.00E-44	none
11_10753	locus 4_0276	0	none
11_20168	locus 4_0277	4.00E-78	none
12_10100	locus 4_0278	4.00E-78	none
12_30375	locus 4_0279	1.00E-47	none
12_31329	locus 4_0280	8.00E-95	none
12_30927	locus 4_0281	0	none
11_10584	locus 4_0282	1.00E-161	none
12_10680	locus 4_0283	0	none
12_30223	locus 4_0284	6.00E-88	none
12_31220	locus 4_0285	2.00E-68	none
11_11330	locus 4_0286	1.00E-34	none
12_31269	locus 4_0287	2.00E-54	none
11_20944	locus 4_0288	1.00E-128	none
11_10918	locus 4_0289	1.00E-165	none
11_21405	locus 4_0290	2.00E-85	none
12_31499	locus 4_0291	1.00E-141	none
12_30732	locus 4_0292	3.00E-90	none
12_30274	locus 4_0293	6.00E-99	none
12_30084	locus 4_0294	0	none
11_10821	locus 4_0295	1.00E-102	none
11_10754	locus 4_0296	0	none
12_11338	locus 4_0297	1.00E-127	none
11_11172	locus 4_0298	1.00E-133	none
12_30924	locus 4_0299	1.00E-123	none
12_31525	locus 4_0300	0	none
12_20413	locus 4_0301	0	none
12_30096	locus 4_0302	1.00E-125	none
12_31238	locus 4_0303	1.00E-132	none
11_20650	locus 4_0304	1.00E-86	none
11_10867	locus 4_0305	2.00E-81	none
12_30081	locus 4_0306	0	none
11_10280	locus 4_0307	0	none
11_20343	locus 5_0001	0.00002	none
11_11141	locus 5_0002	0	none
12_10505	locus 5_0003	3.00E-21	none
12_10188	locus 5_0004	9.00E-45	none
12_30963	locus 5_0005	1.00E-107	none
11_11196	locus 5_0006	1.00E-120	none
11_20662	locus 5_0007	1.00E-89	none
12_20369	locus 5_0008	0	none
11_10842	locus 5_0009	2.00E-71	none
11_20612	locus 5_0010	0	none
12_30973	locus 5_0011	1.00E-100	none
12_30092	locus 5_0012	0	none
11_20527	locus 5_0013	0	none
11_21428	locus 5_0014	1.00E-117	none
11_10381	locus 5_0015	0	none
11_20409	locus 5_0016	0	none
11_11127	locus 5_0017	0	none
12_30860	locus 5_0018	1.00E-115	none
12_10122	locus 5_0019	1.00E-137	none
11_20085	locus 5_0020	1.00E-132	none
11_11328	locus 5_0021	1.00E-115	none
12_31251	locus 5_0022	1.00E-126	none
12_11154	locus 5_0023	0	none
12_31496	locus 5_0024	7.00E-10	none
11_20920	locus 5_0025	0	none
12_30367	locus 5_0026	5.00E-54	none
12_11047	locus 5_0027	0	none
11_20851	locus 5_0028	0	none
11_21427	locus 5_0029	1.00E-156	none
12_30137	locus 5_0030	1.00E-119	none
11_10570	locus 5_0031	0	none
12_11297	locus 5_0032	1.00E-135	none
11_21266	locus 5_0033	1.00E-126	none
12_31161	locus 5_0034	1.00E-117	none
12_21531	locus 5_0035	1.00E-121	none
11_21272	locus 5_0036	1.00E-157	none
12_30841	locus 5_0037	1.00E-121	none
12_21376	locus 5_0038	1.00E-114	none
12_31500	locus 5_0039	1.00E-79	none
12_20421	locus 5_0040	0	none
11_20155	locus 5_0041	2.00E-51	none
12_20505	locus 5_0042	1.00E-101	none
12_30921	locus 5_0043	1.00E-143	none
12_21345	locus 5_0044	0	none
11_11436	locus 5_0045	1.00E-85	none
12_30370	locus 5_0046	0	none
12_11510	locus 5_0047	3.00E-23	none
11_10935	locus 5_0048	6.00E-70	none
12_20198	locus 5_0049	0.000000006	none
11_10646	locus 5_0050	1.00E-101	none
11_21008	locus 5_0051	1.00E-176	none
12_30271	locus 5_0052	1.00E-85	none
11_10702	locus 5_0053	1.00E-128	none
12_30767	locus 5_0054	2.00E-22	none
11_21523	locus 5_0055	3.00E-17	none
12_30960	locus 5_0056	0	none
11_20605	locus 5_0057	1.00E-148	none
11_10893	locus 5_0058	1.00E-140	none
12_31388	locus 5_0059	1.00E-140	none
11_10681	locus 5_0060	1.00E-129	none
12_10629	locus 5_0061	0	none
11_10694	locus 5_0062	2.00E-46	none
11_21267	locus 5_0063	3.00E-55	none
12_30736	locus 5_0064	1.00E-64	none
11_20057	locus 5_0065	4.00E-39	none
12_10014	locus 5_0066	2.00E-31	none
11_11516	locus 5_0067	1.00E-168	none
12_30229	locus 5_0068	1.00E-114	none
12_21500	locus 5_0069	3.00E-50	none
12_30055	locus 5_0070	1.00E-127	none
11_10767	locus 5_0071	7.00E-14	none
12_10215	locus 5_0072	2.00E-79	none
12_30135	locus 5_0073	8.00E-70	none
11_21362	locus 5_0074	1.00E-132	none
11_10343	locus 5_0075	4.00E-32	none
11_20185	locus 5_0076	7.00E-75	none
11_10283	locus 5_0077	3.00E-29	none
12_20345	locus 5_0078	2.00E-29	none
12_31324	locus 5_0079	2.00E-73	none
12_30764	locus 5_0080	1.00E-107	none
11_21228	locus 5_0081	0	none
11_10409	locus 5_0082	1.00E-130	none
11_10208	locus 5_0083	0	none
11_21056	locus 5_0084	5.00E-52	none
11_11345	locus 5_0085	4.00E-88	none
12_31486	locus 5_0086	1.00E-111	none
12_30140	locus 5_0087	2.00E-89	none
12_20274	locus 5_0088	1.00E-131	none
11_10319	locus 5_0089	1.00E-107	none
12_11485	locus 5_0090	1.00E-103	none
12_31458	locus 5_0091	4.00E-24	none
12_11300	locus 5_0092	0	none
11_10490	locus 5_0093	0	none
12_30540	locus 5_0094	1.00E-115	none
12_30150	locus 5_0095	1.00E-83	none
11_10113	locus 5_0096	2.00E-59	none
11_10738	locus 5_0097	0	none
11_10223	locus 5_0098	0	none
11_21359	locus 5_0099	0	none
11_20557	locus 5_0100	2.00E-37	none
11_10574	locus 5_0101	5.00E-49	none
12_31291	locus 5_0102	8.00E-73	none
11_10221	locus 5_0103	5.00E-96	none
11_11199	locus 5_0104	1.00E-54	none
11_21385	locus 5_0105	7.00E-14	none
11_11136	locus 5_0106	1.00E-140	none
12_21458	locus 5_0107	0	none
12_10626	locus 5_0108	0	none
12_10395	locus 5_0109	0	none
11_10132	locus 5_0110	0	none
11_20210	locus 5_0111	0	none
12_11060	locus 5_0112	0	none
12_10562	locus 5_0113	1.00E-85	none
12_11175	locus 5_0114	1.00E-62	none
11_20422	locus 5_0115	1.00E-71	none
12_30394	locus 5_0116	3.00E-60	none
11_20302	locus 5_0117	0	none
11_20606	locus 5_0118	1.00E-140	none
11_21070	locus 5_0119	1.00E-151	none
11_20680	locus 5_0120	2.00E-74	none
11_21418	locus 5_0121	1.00E-138	none
11_20109	locus 5_0122	6.00E-50	none
11_20777	locus 5_0123	2.00E-83	none
11_20001	locus 5_0124	0	none
11_10031	locus 5_0125	0	none
12_30907	locus 5_0126	0	none
11_21374	locus 5_0127	0	none
12_31313	locus 5_0128	5.00E-16	none
12_31164	locus 5_0129	0	none
11_21122	locus 5_0130	1.00E-180	none
12_30863	locus 5_0131	1.00E-168	none
12_30864	locus 5_0132	1.00E-168	none
12_30865	locus 5_0133	1.00E-168	none
11_21397	locus 5_0134	0	none
11_20411	locus 5_0135	0	none
11_21389	locus 5_0136	1.00E-120	none
12_10810	locus 5_0137	0	none
12_10860	locus 5_0138	1.00E-26	none
12_31524	locus 5_0139	1.00E-134	none
12_11382	locus 5_0140	1.00E-16	none
12_10347	locus 5_0141	0	none
12_10171	locus 5_0142	1.00E-166	none
12_30992	locus 5_0143	0	none
11_20012	locus 5_0144	1.00E-71	none
12_10371	locus 5_0145	0	none
12_20240	locus 5_0146	1.00E-101	none
11_20180	locus 5_0147	1.00E-49	none
11_20114	locus 5_0148	0	none
12_10063	locus 5_0149	1.00E-107	none
12_20011	locus 5_0150	1.00E-159	none
12_30328	locus 5_0151	2.00E-78	none
11_11180	locus 5_0152	0	none
12_30187	locus 5_0153	0	none
11_10048	locus 5_0154	2.00E-48	none
12_30993	locus 5_0155	1.00E-171	none
11_10793	locus 5_0156	9.00E-33	none
11_10668	locus 5_0157	1.00E-180	none
12_11112	locus 5_0158	1.00E-171	none
11_20939	locus 5_0159	0	none
11_21490	locus 5_0160	1.00E-178	none
11_11405	locus 5_0161	1.00E-166	none
12_30564	locus 5_0162	1.00E-127	none
11_10261	locus 5_0163	1.00E-112	none
11_10432	locus 5_0164	2.00E-32	none
12_21442	locus 5_0165	1.00E-133	none
11_20853	locus 5_0166	0	none
11_10093	locus 5_0167	7.00E-53	none
12_20156	locus 5_0168	7.00E-53	none
11_10942	locus 5_0169	0	none
11_21071	locus 5_0170	1.00E-103	none
11_20782	locus 5_0171	0	none
12_30488	locus 5_0172	0	none
12_31382	locus 5_0173	0	none
11_10667	locus 5_0174	0	none
12_30878	locus 5_0175	0	none
12_31360	locus 5_0176	1.00E-153	none
12_30331	locus 5_0177	1.00E-145	none
12_31026	locus 5_0178	3.00E-40	none
12_30525	locus 5_0179	5.00E-55	none
11_10756	locus 5_0180	4.00E-94	none
12_21029	locus 5_0181	1.00E-116	none
11_10577	locus 5_0182	0	none
11_20269	locus 5_0183	0	none
12_10195	locus 5_0184	0	none
11_21073	locus 5_0185	8.00E-45	none
12_30777	locus 5_0186	2.00E-90	none
12_10492	locus 5_0187	2.00E-33	none
12_10607	locus 5_0188	1.00E-171	none
11_20289	locus 5_0189	0	none
12_30605	locus 5_0190	1.00E-109	none
12_21137	locus 5_0191	0	none
12_30684	locus 5_0192	0	none
12_30866	locus 5_0193	1.00E-31	none
12_30450	locus 5_0194	3.00E-91	none
12_20525	locus 5_0195	1.00E-126	none
12_11190	locus 5_0196	1.00E-110	none
12_31156	locus 5_0197	0	none
12_20831	locus 5_0198	0	none
12_11063	locus 5_0199	1.00E-72	none
11_10480	locus 5_0200	3.00E-92	none
11_10411	locus 5_0201	0	none
11_11042	locus 5_0202	0	none
11_11332	locus 5_0203	1.00E-130	none
11_20496	locus 5_0204	0	none
11_21303	locus 5_0205	1.00E-99	none
11_10946	locus 5_0206	0	none
12_30427	locus 5_0207	0	none
11_20610	locus 5_0208	0	none
11_10881	locus 5_0209	1.00E-125	none
11_11114	locus 5_0210	2.00E-79	none
11_11244	locus 5_0211	0	none
12_20898	locus 5_0212	1.00E-135	none
11_10527	locus 5_0213	1.00E-132	none
12_11108	locus 5_0214	1.00E-123	none
12_31462	locus 5_0215	1.00E-157	none
11_20412	locus 5_0216	1.00E-141	none
12_10426	locus 5_0217	0	none
11_21481	locus 5_0218	0	none
11_10807	locus 5_0219	0	none
12_30060	locus 5_0220	0	none
11_20363	locus 5_0221	1.00E-113	none
12_10088	locus 5_0222	0	none
12_30839	locus 5_0223	9.00E-91	none
12_31297	locus 5_0224	2.00E-44	none
12_10637	locus 5_0225	1.00E-112	none
11_20020	locus 5_0226	7.00E-33	none
11_10262	locus 0001	1.00E-132	none
11_10046	locus 0002	1.00E-134	none
11_10568	locus 0003	0	none
12_11232	locus 0004	7.00E-21	none
11_21010	locus 0005	0	none
11_20361	locus 0006	1.00E-90	none
11_20151	locus 0007	2.00E-75	none
11_20482	locus 0008	0	none
11_21191	locus 0009	1.00E-132	none
12_30054	locus 0010	0	none
11_21400	locus 0011	2.00E-89	none
12_30237	locus 0012	0	none
11_21087	locus 0013	0	none
11_21296	locus 0014	5.00E-69	none
12_31186	locus 0015	1.00E-128	none
11_11207	locus 0016	1.00E-101	none
11_21273	locus 0017	2.00E-81	none
11_20453	locus 0018	0	none
12_11427	locus 0019	4.00E-95	none
11_20820	locus 0020	0	none
11_20723	locus 0021	1.00E-168	none
11_11224	locus 0022	0	none
11_11229	locus 0023	0	none
12_31515	locus 0024	1.00E-106	none
11_20906	locus 0025	1.00E-105	none
11_20924	locus 0026	0	none
11_10639	locus 0027	0	none
11_11431	locus 0028	1.00E-144	none
12_30620	locus 0029	0	none
11_20062	locus 0030	6.00E-83	none
11_11070	locus 0031	0	none
12_30455	locus 0032	3.00E-73	none
12_31385	locus 0033	3.00E-36	none
11_10010	locus 0034	1.00E-102	none
12_30904	locus 0035	0	none
12_30905	locus 0036	0	none
12_30906	locus 0037	0	none
12_30755	locus 0038	0	none
12_31493	locus 0039	0.00001	none
11_20072	locus 0040	1.00E-92	none
11_10606	locus 0041	1.00E-125	none
12_30693	locus 0042	1.00E-76	none
11_20451	locus 0043	7.00E-17	none
11_10627	locus 0044	8.00E-83	none
12_31536	locus 0045	8.00E-83	none
11_20580	locus 0046	0	none
11_11513	locus 0047	1.00E-132	none
11_21504	locus 0048	0	none
11_10467	locus 0049	2.00E-37	none
12_30994	locus 0050	2.00E-83	none
12_31258	locus 0051	1.00E-129	none
12_31362	locus 0052	0.00000004	none
11_10829	locus 0053	1.00E-71	none
11_10090	locus 0054	0	none
11_11319	locus 0055	1.00E-152	none
11_10309	locus 0056	0	none
12_20143	locus 0057	7.00E-57	none
11_20815	locus 0058	0	none
12_30136	locus 0059	0	none
12_31231	locus 0060	1.00E-109	none
11_11004	locus 0061	1.00E-160	none
11_21353	locus 0062	4.00E-67	none
11_21332	locus 0063	1.00E-111	none
12_31148	locus 0064	0	none
11_10523	locus 0065	7.00E-54	none
12_30787	locus 0066	1.00E-117	none
12_10170	locus 0067	0	none
12_30226	locus 0068	6.00E-83	none
11_11500	locus 0069	1.00E-112	none
11_20670	locus 0070	0	none
12_11526	locus 0071	9.00E-61	none
11_20197	locus 0072	1.00E-131	none
11_20718	locus 0073	1.00E-54	none
11_10724	locus 0074	0	none
12_31246	locus 0075	1.00E-129	none
11_10723	locus 0076	0	none
11_20689	locus 0077	1.00E-24	none
