Chrom	BOPA_C	cM_NAI	aliases	annotation
3H	11_21147	56.4	none	none
3H	11_11337	56.4	none	none
3H	11_20801	56.4	none	none
3H	12_11482	56.4	none	none
3H	11_20102	56.4	none	none
3H	11_20890	56.4	none	none
3H	11_21435	56.4	none	none
3H	11_11125	56.4	none	none
3H	12_20721	56.4	none	none
3H	12_31214	56.4	none	none
3H	11_20002	56.4	none	none
3H	11_10925	56.4	none	none
3H	11_10620	56.4	none	none
3H	11_10966	56.4	none	none
3H	11_20486	56.4	none	none
3H	11_10349	56.4	none	none
3H	11_10224	56.4	none	none
3H	12_31281	56.4	none	none
3H	12_31017	56.4	none	none
3H	11_10926	56.4	none	none
3H	12_31368	56.4	none	none
3H	11_10011	56.4	none	none
3H	11_20439	56.4	none	none
3H	11_11530	56.4	none	none
3H	11_20444	57.12	none	none
3H	12_20108	58.01	none	none
3H	11_11401	58.01	none	none
3H	11_10225	58.01	none	none
3H	12_31393	58.64	none	none
3H	11_20276	58.64	none	none
3H	12_31016	58.64	none	none
3H	11_11016	58.64	none	none
3H	12_30009	58.64	none	none
3H	11_20995	58.64	none	none
3H	11_21511	59.89	none	none
3H	12_10678	59.89	none	none
3H	11_20325	59.89	none	none
3H	12_21064	59.89	none	none
3H	12_10850	59.89	none	none
3H	11_10373	59.89	none	none
3H	11_10653	59.89	none	none
3H	11_10158	59.89	none	none
3H	12_30829	59.89	none	none
3H	11_10005	61.44	none	none
3H	11_10728	62.99	none	none
3H	12_20863	64.19	none	none
3H	12_11150	64.19	none	none
3H	12_30088	64.19	none	none
3H	12_11084	64.19	none	none
3H	11_11191	64.19	none	none
3H	11_21120	64.19	none	none
3H	11_10281	64.19	none	none
3H	11_20704	65.52	none	none
3H	11_21502	65.52	none	none
3H	12_11152	65.52	none	none
3H	12_30005	65.52	none	none
3H	11_10839	65.52	none	none
3H	11_11391	65.52	none	none
3H	11_10335	65.52	none	none
3H	12_11284	65.52	none	none
3H	12_20608	65.52	none	none
3H	12_31153	68.32	none	none
3H	11_20931	68.32	none	none
3H	12_30616	68.32	none	none
3H	12_30788	68.32	none	none
3H	11_11394	69.6	none	none
3H	11_10172	69.6	none	none
3H	12_31242	69.6	none	none
3H	11_20017	69.6	none	none
3H	11_20351	69.6	none	none
3H	11_11314	70.23	none	none
3H	11_20273	70.71	none	none
3H	11_20877	70.71	none	none
3H	11_11241	70.71	none	none
3H	12_31323	70.71	none	none
3H	12_30754	71.49	none	none
3H	11_20694	72.26	none	none
3H	12_31529	72.26	none	none
3H	12_10452	72.26	none	none
3H	12_31356	73.53	none	none
3H	11_10350	73.53	none	none
3H	11_20521	74.15	none	none
3H	11_10276	74.78	none	none
3H	12_30399	74.78	none	none
3H	11_20566	75.45	none	none
3H	11_20124	76.2	none	none
3H	11_20778	76.2	none	none
3H	11_20695	76.2	none	none
3H	12_10609	76.2	none	none
3H	11_10683	76.2	none	none
3H	12_30743	76.2	none	none
3H	12_31346	76.98	none	none
3H	11_10047	78.53	none	none
3H	11_20597	78.53	none	none
3H	11_20362	78.53	none	none
3H	12_11454	78.53	none	none
3H	12_21194	78.53	none	none
3H	11_20115	80.89	none	none
3H	12_30170	80.89	none	none
3H	11_21163	80.89	none	none
3H	12_20849	81.66	none	none
3H	12_30677	81.66	none	none
3H	11_21358	81.66	none	none
3H	11_20093	81.66	none	none
3H	12_31262	81.66	none	none
3H	12_11524	81.66	none	none
3H	12_30278	83.23	none	none
3H	12_11517	83.67	none	none
3H	11_20063	85.99	none	none
3H	12_11138	85.99	none	none
3H	11_21348	87.24	none	none
3H	12_31299	87.24	none	none
3H	11_10628	87.24	none	none
3H	11_10444	87.24	none	none
3H	11_21505	87.24	none	none
3H	11_21294	88.82	none	none
3H	11_20136	88.82	none	none
3H	12_31018	89.31	none	none
3H	12_30663	89.31	none	none
3H	12_10134	89.31	none	none
3H	12_30325	90.48	none	none
3H	11_20659	91.25	none	none
3H	11_10253	91.88	none	none
3H	12_10583	91.88	none	none
3H	11_11021	93.43	none	none
3H	11_10747	93.43	none	none
3H	12_31367	95.37	none	none
3H	12_30250	96.15	none	none
3H	12_30090	97.71	none	none
3H	12_30640	98.49	none	none
3H	11_20628	98.49	none	none
3H	11_20130	98.49	none	none
3H	12_10074	98.49	none	none
3H	12_30909	98.49	none	none
3H	11_20999	98.49	none	none
3H	11_21438	98.49	none	none
3H	11_20626	99.12	none	none
3H	11_10515	99.89	none	none
3H	11_10184	100.66	none	none
3H	11_21083	101.43	none	none
3H	11_21381	102.21	none	none
3H	11_21517	102.98	none	none
3H	12_30342	104.53	none	none
3H	12_10344	104.53	none	none
3H	12_10662	104.53	none	none
3H	11_21495	104.53	none	none
3H	11_21493	105.3	none	none
3H	12_30119	106.84	none	none
3H	11_20009	107.63	none	none
3H	11_21513	109.14	none	none
3H	11_21161	111.42	none	none
3H	11_21212	111.42	none	none
3H	12_11392	111.42	none	none
3H	12_21081	111.42	none	none
3H	11_20023	111.42	none	none
3H	12_30423	111.42	none	none
3H	11_10312	114	none	none
3H	11_20523	114	none	none
3H	11_11503	114	none	none
3H	12_30276	114	none	none
3H	11_21277	114	none	none
3H	11_10753	114	none	none
3H	11_20168	114	none	none
3H	12_10100	114	none	none
3H	12_30375	114.78	none	none
3H	12_31329	115.55	none	none
3H	12_30927	117.1	none	none
3H	11_10584	117.1	none	none
3H	12_10680	117.87	none	none
3H	12_30223	120.59	none	none
3H	12_31220	120.59	none	none
3H	11_11330	120.59	none	none
3H	12_31269	121.36	none	none
3H	11_20944	122.14	none	none
3H	11_10918	123.68	none	none
3H	11_21405	123.68	none	none
3H	12_31499	123.68	none	none
3H	12_30732	123.68	none	none
3H	12_30274	124.84	none	none
3H	12_30084	126.27	none	none
3H	11_10821	126.27	none	none
3H	11_10754	126.27	none	none
3H	12_11338	126.27	none	none
3H	11_11172	126.27	none	none
3H	12_30924	126.27	none	none
3H	12_31525	126.27	none	none
3H	12_20413	127.1	none	none
3H	12_30096	127.1	none	none
3H	12_31238	127.1	none	none
3H	11_20650	127.1	none	none
3H	11_10867	127.1	none	none
3H	12_30081	128.64	none	none
3H	11_10280	130.19	none	none
3H	11_20343	130.19	none	none
3H	11_11141	130.82	none	none
3H	12_10505	130.82	none	none
3H	12_10188	130.82	none	none
3H	12_30963	130.82	none	none
3H	11_11196	130.82	none	none
3H	11_20662	130.82	none	none
3H	12_20369	130.82	none	none
3H	11_10842	131.59	none	none
3H	11_20612	131.59	none	none
3H	12_30973	133.14	none	none
3H	12_30092	134.31	none	none
3H	11_20527	134.31	none	none
3H	11_21428	136.66	none	none
3H	11_10381	136.66	none	none
3H	11_20409	136.66	none	none
3H	11_11127	136.66	none	none
3H	12_30860	136.66	none	none
3H	12_10122	136.66	none	none
3H	11_20085	137.28	none	none
3H	11_11328	138.83	none	none
3H	12_31251	138.83	none	none
3H	12_11154	138.83	none	none
3H	12_31496	140.37	none	none
3H	11_20920	140.91	none	none
3H	12_30367	141.54	none	none
3H	12_11047	141.54	none	none
3H	11_20851	141.54	none	none
3H	11_21427	141.54	none	none
3H	12_30137	142.32	none	none
3H	11_10570	142.32	none	none
3H	12_11297	147.43	none	none
3H	11_21266	148.89	none	none
3H	12_31161	148.94	none	none
3H	12_21531	149.71	none	none
3H	11_21272	150.37	none	none
3H	12_30841	151.22	none	none
3H	12_21376	151.22	none	none
3H	12_31500	151.99	none	none
3H	12_20421	154.31	none	none
3H	11_20155	155.09	none	none
3H	12_20505	155.09	none	none
3H	12_30921	155.85	none	none
3H	12_21345	155.85	none	none
3H	11_11436	155.85	none	none
3H	12_30370	155.85	none	none
3H	12_11510	160.08	none	none
3H	11_10935	160.08	none	none
3H	12_20198	162.15	none	none
3H	11_10646	162.15	none	none
3H	11_21008	162.15	none	none
3H	12_30271	162.15	none	none
3H	11_10702	162.15	none	none
3H	12_30767	162.15	none	none
3H	11_21523	164.29	none	none
3H	12_30960	164.29	none	none
3H	11_20605	166.22	none	none
3H	11_10893	167.77	none	none
3H	12_31388	167.77	none	none
3H	11_10681	167.77	none	none
3H	12_10629	167.77	none	none
3H	11_10694	168.4	none	none
3H	11_21267	168.4	none	none
3H	12_30736	168.4	none	none
3H	11_20057	168.4	none	none
3H	12_10014	168.4	none	none
3H	11_11516	169.32	none	none
3H	12_30229	170.09	none	none
3H	12_21500	171.64	none	none
3H	12_30055	172.41	none	none
3H	11_10767	172.42	none	none
3H	12_10215	173.17	none	none
3H	12_30135	173.17	none	none
3H	11_21362	173.17	none	none
3H	11_10343	173.17	none	none
3H	11_20185	173.17	none	none
3H	11_10283	173.17	none	none
3H	12_20345	173.17	none	none
4H	12_31324	0.74	none	none
4H	12_30764	0.74	none	none
4H	11_21228	3.74	none	none
4H	11_10409	3.74	none	none
4H	11_10208	3.74	none	none
4H	11_21056	3.74	none	none
4H	11_11345	5.55	none	none
4H	12_31486	7.06	none	none
4H	12_30140	7.06	none	none
4H	12_20274	7.06	none	none
4H	11_10319	8.25	none	none
4H	12_11485	11.27	none	none
4H	12_31458	12.02	none	none
4H	12_11300	12.02	none	none
4H	11_10490	12.02	none	none
4H	12_30540	15.75	none	none
4H	12_30150	18.01	none	none
4H	11_10113	19.52	none	none
4H	11_10738	19.52	none	none
4H	11_10223	20.12	none	none
4H	11_21359	20.12	none	none
4H	11_20557	20.12	none	none
4H	11_10574	20.12	none	none
4H	12_31291	20.87	none	none
4H	11_10221	21.61	none	none
4H	11_11199	22.36	none	none
4H	11_21385	23.1	none	none
4H	11_11136	23.1	none	none
4H	12_21458	23.85	none	none
4H	12_10626	24.59	none	none
4H	12_10395	24.59	none	none
4H	11_10132	24.59	none	none
4H	11_20210	24.59	none	none
4H	12_11060	24.59	none	none
4H	12_10562	24.59	none	none
4H	12_11175	24.59	none	none
4H	11_20422	24.59	none	none
4H	12_30394	24.59	none	none
4H	11_20302	26.19	none	none
4H	11_20606	26.19	none	none
4H	11_21070	26.19	none	none
4H	11_20680	26.19	none	none
4H	11_21418	26.19	none	none
4H	11_20109	26.19	none	none
4H	11_20777	26.66	none	none
4H	11_20001	28.15	none	none
4H	11_10031	28.4	none	none
4H	12_30907	28.4	none	none
4H	11_21374	28.4	none	none
4H	12_31313	31.43	none	none
4H	12_31164	32.45	none	none
4H	11_21122	33.38	none	none
4H	12_30863	33.38	none	none
4H	12_30864	33.38	none	none
4H	12_30865	33.38	none	none
4H	11_21397	33.38	none	none
4H	11_20411	36.37	none	none
4H	11_21389	36.37	none	none
4H	12_10810	36.37	none	none
4H	12_10860	36.37	none	none
4H	12_31524	37.12	none	none
4H	12_11382	37.87	none	none
4H	12_10347	38.63	none	none
4H	12_10171	38.63	none	none
4H	12_30992	38.63	none	none
4H	11_20012	39.76	none	none
4H	12_10371	40.36	none	none
4H	12_20240	40.36	none	none
4H	11_20180	40.36	none	none
4H	11_20114	40.36	none	none
4H	12_10063	40.36	none	none
4H	12_20011	40.36	none	none
4H	12_30328	40.96	none	none
4H	11_11180	40.96	none	none
4H	12_30187	42.45	none	none
4H	11_10048	42.45	none	none
4H	12_30993	43.78	none	none
4H	11_10793	44.94	none	none
4H	11_10668	44.94	none	none
4H	12_11112	46.41	none	none
4H	11_20939	46.41	none	none
4H	11_21490	46.41	none	none
4H	11_11405	47.6	none	none
4H	12_30564	47.6	none	none
4H	11_10261	48.5	none	none
4H	11_10432	48.5	none	none
4H	12_21442	48.5	none	none
4H	11_20853	48.5	none	none
4H	11_10093	48.5	none	none
4H	12_20156	48.5	none	none
4H	11_10942	48.5	none	none
4H	11_21071	48.5	none	none
4H	11_20782	48.5	none	none
4H	12_30488	48.5	none	none
4H	12_31382	48.5	none	none
4H	11_10667	48.5	none	none
4H	12_30878	48.5	none	none
4H	12_31360	48.5	none	none
4H	12_30331	48.5	none	none
4H	12_31026	48.5	none	none
4H	12_30525	48.5	none	none
4H	11_10756	48.5	none	none
4H	12_21029	48.5	none	none
4H	11_10577	48.5	none	none
4H	11_20269	48.5	none	none
4H	12_10195	48.5	none	none
4H	11_21073	48.5	none	none
4H	12_30777	49.5	none	none
4H	12_10492	49.5	none	none
4H	12_10607	50.4	none	none
4H	11_20289	50.4	none	none
4H	12_30605	50.4	none	none
4H	12_21137	50.4	none	none
4H	12_30684	50.4	none	none
4H	12_30866	50.4	none	none
4H	12_30450	50.4	none	none
4H	12_20525	50.4	none	none
4H	12_11190	50.4	none	none
4H	12_31156	50.4	none	none
4H	12_20831	50.4	none	none
4H	12_11063	51.3	none	none
4H	11_10480	51.3	none	none
4H	11_10411	51.3	none	none
4H	11_11042	51.3	none	none
4H	11_11332	51.3	none	none
4H	11_20496	51.3	none	none
4H	11_21303	51.3	none	none
4H	11_10946	52.75	none	none
4H	12_30427	53.5	none	none
4H	11_20610	54.25	none	none
4H	11_10881	54.25	none	none
4H	11_11114	54.25	none	none
4H	11_11244	54.98	none	none
4H	12_20898	55.63	none	none
4H	11_10527	55.63	none	none
4H	12_11108	55.63	none	none
4H	12_31462	55.63	none	none
4H	11_20412	55.63	none	none
4H	12_10426	55.63	none	none
4H	11_21481	55.63	none	none
4H	11_10807	55.63	none	none
4H	12_30060	55.63	none	none
4H	11_20363	55.63	none	none
4H	12_10088	55.63	none	none
4H	12_30839	55.63	none	none
4H	12_31297	55.63	none	none
4H	12_10637	55.63	none	none
4H	11_20020	55.63	none	none
4H	11_10262	55.63	none	none
4H	11_10046	55.63	none	none
4H	11_10568	55.63	none	none
4H	12_11232	55.63	none	none
4H	11_21010	59.37	none	none
4H	11_20361	59.37	none	none
4H	11_20151	59.37	none	none
4H	11_20482	59.37	none	none
4H	11_21191	61.04	none	none
4H	12_30054	61.04	none	none
4H	11_21400	61.04	none	none
4H	12_30237	61.04	none	none
4H	11_21087	62.1	none	none
4H	11_21296	62.83	none	none
4H	12_31186	62.83	none	none
4H	11_11207	62.83	none	none
4H	11_21273	62.83	none	none
4H	11_20453	62.83	none	none
4H	12_11427	62.83	none	none
4H	11_20820	63.56	none	none
4H	11_20723	64.31	none	none
4H	11_11224	65.05	none	none
4H	11_11229	65.05	none	none
4H	12_31515	65.05	none	none
4H	11_20906	65.05	none	none
4H	11_20924	65.05	none	none
4H	11_10639	65.05	none	none
4H	11_11431	65.05	none	none
4H	12_30620	65.05	none	none
4H	11_20062	65.05	none	none
4H	11_11070	65.8	none	none
4H	12_30455	65.8	none	none
4H	12_31385	66	none	none
4H	11_10010	66	none	none
4H	12_30904	66	none	none
4H	12_30905	66	none	none
4H	12_30906	66	none	none
4H	12_30755	66	none	none
4H	12_31493	66	none	none
4H	11_20072	67.46	none	none
4H	11_10606	67.46	none	none
4H	12_30693	68.21	none	none
4H	11_20451	68.21	none	none
4H	11_10627	68.21	none	none
4H	12_31536	68.21	none	none
4H	11_20580	68.21	none	none
4H	11_11513	69.51	none	none
4H	11_21504	69.51	none	none
4H	11_10467	72.08	none	none
4H	12_30994	72.82	none	none
4H	12_31258	73.57	none	none
4H	12_31362	73.57	none	none
4H	11_10829	73.84	none	none
4H	11_10090	76.03	none	none
4H	11_11319	76.03	none	none
4H	11_10309	76.03	none	none
4H	12_20143	76.03	none	none
4H	11_20815	76.03	none	none
4H	12_30136	77.31	none	none
4H	12_31231	77.31	none	none
4H	11_11004	77.31	none	none
4H	11_21353	77.31	none	none
4H	11_21332	77.31	none	none
4H	12_31148	78.77	none	none
4H	11_10523	78.77	none	none
4H	12_30787	79.58	none	none
4H	12_10170	79.58	none	none
4H	12_30226	79.58	none	none
4H	11_11500	79.58	none	none
4H	11_20670	80.79	none	none
4H	12_11526	80.95	none	none
4H	11_20197	81.69	none	none
4H	11_20718	82.42	none	none
4H	11_10724	82.42	none	none
4H	12_31246	83.55	none	none
4H	11_10723	84.3	none	none
4H	11_20689	84.3	none	none
4H	12_30390	84.3	none	none
4H	12_10670	85.04	none	none
4H	11_21151	85.04	none	none
4H	11_11213	86.27	none	none
4H	11_20178	86.27	none	none
4H	11_20765	87.49	none	none
4H	11_11398	87.49	none	none
4H	11_20358	88.22	none	none
4H	11_10588	89.39	none	none
4H	12_30138	90.29	none	none
4H	11_20384	91.78	none	none
4H	11_20732	92.38	none	none
4H	12_30232	93.13	none	none
4H	12_30142	93.13	none	none
4H	11_10785	93.87	none	none
4H	12_30718	95.31	none	none
4H	12_30584	96.59	none	none
4H	12_30046	96.59	none	none
4H	11_11292	96.59	none	none
4H	12_30117	96.59	none	none
4H	12_30114	96.59	none	none
4H	12_30554	96.59	none	none
4H	11_20838	96.59	none	none
4H	12_10271	96.59	none	none
4H	12_10824	96.59	none	none
4H	11_21243	97.06	none	none
4H	11_20762	98.55	none	none
4H	12_10666	98.55	none	none
4H	11_20119	99.28	none	none
4H	12_30987	100.74	none	none
4H	12_30988	100.74	none	none
4H	12_30539	100.74	none	none
4H	12_11183	100.74	none	none
4H	11_11470	100.74	none	none
4H	12_30158	100.74	none	none
4H	11_10614	100.74	none	none
4H	11_20454	101.62	none	none
4H	11_20515	101.62	none	none
4H	11_10510	102.37	none	none
4H	12_31139	103.11	none	none
4H	11_10334	103.11	none	none
4H	12_11139	103.11	none	none
4H	12_30990	103.11	none	none
4H	11_21111	103.11	none	none
4H	11_20974	106.03	none	none
4H	12_11194	107.12	none	none
4H	12_30385	107.86	none	none
4H	11_10123	108.7	none	none
4H	12_31138	111.07	none	none
4H	11_10712	111.66	none	none
4H	12_11233	111.66	none	none
4H	12_20237	111.66	none	none
4H	11_11299	111.68	none	none
4H	11_20701	113.17	none	none
4H	12_11235	113.17	none	none
4H	11_11066	113.92	none	none
4H	11_21035	113.92	none	none
4H	11_20883	113.92	none	none
4H	11_10697	114.66	none	none
4H	12_30146	114.66	none	none
4H	11_10611	114.66	none	none
4H	11_21130	116.85	none	none
4H	11_21210	117.6	none	none
4H	11_20224	117.6	none	none
4H	11_10269	117.6	none	none
4H	12_20760	118.34	none	none
4H	12_30873	119.09	none	none
4H	12_30476	119.09	none	none
4H	11_20007	119.09	none	none
4H	11_10610	119.09	none	none
4H	12_30425	119.09	none	none
4H	12_21450	119.09	none	none
4H	11_20272	119.09	none	none
4H	11_10387	119.84	none	none
4H	12_30239	119.84	none	none
4H	12_30006	119.84	none	none
4H	12_31422	120.58	none	none
4H	11_11186	121.83	none	none
4H	11_20089	123.29	none	none
4H	11_11019	123.29	none	none
4H	12_30824	123.29	none	none
4H	12_30825	123.29	none	none
4H	11_20013	123.29	none	none
5H	12_30163	0	none	none
5H	11_20894	2.09	none	none
5H	12_30976	2.09	none	none
5H	12_30543	2.81	none	none
5H	11_20553	2.81	none	none
5H	12_30984	4.24	none	none
5H	12_30975	4.96	none	none
5H	12_30983	4.96	none	none
5H	12_31023	4.96	none	none
5H	12_30591	5.68	none	none
5H	12_30001	5.68	none	none
5H	12_30977	6.4	none	none
5H	11_20206	6.4	none	none
5H	12_31022	6.4	none	none
5H	11_21202	7.03	none	none
5H	11_11381	7.48	none	none
5H	11_21221	9.33	none	none
5H	11_20533	17.38	none	none
5H	12_31094	18.09	none	none
5H	11_20010	18.72	none	none
5H	12_30714	19.44	none	none
5H	11_21365	21.25	none	none
5H	11_10695	25.23	none	none
5H	11_20873	26.28	none	none
5H	12_30167	26.28	none	none
5H	11_21065	26.28	none	none
5H	11_21426	27	none	none
5H	11_10974	27	none	none
5H	11_20761	27.72	none	none
5H	12_30531	27.72	none	none
5H	11_11048	29.9	none	none
5H	12_20576	29.97	none	none
5H	11_21324	30.99	none	none
5H	12_10530	33.09	none	none
5H	12_10499	34.25	none	none
5H	11_10688	34.25	none	none
5H	11_10580	35.69	none	none
5H	12_30410	37.11	none	none
5H	11_10621	37.11	none	none
5H	11_20980	39.97	none	none
5H	11_21391	39.97	none	none
5H	11_20845	39.97	none	none
5H	12_11318	40.92	none	none
5H	12_10864	41.64	none	none
5H	12_20770	42.32	none	none
5H	12_30707	43.14	none	none
5H	11_21253	43.14	none	none
5H	11_20729	44.12	none	none
5H	12_31312	46.23	none	none
5H	11_20903	46.23	none	none
5H	11_20766	46.23	none	none
5H	11_10955	46.23	none	none
5H	12_30654	46.23	none	none
5H	11_20571	46.23	none	none
5H	11_10260	46.23	none	none
5H	11_20987	46.23	none	none
5H	12_30105	47.39	none	none
5H	11_11432	47.39	none	none
5H	12_31492	47.39	none	none
5H	12_21372	48.11	none	none
5H	12_31257	48.11	none	none
5H	11_21401	48.83	none	none
5H	12_10923	48.83	none	none
5H	11_11198	48.83	none	none
5H	12_31155	48.83	none	none
5H	12_30454	50.27	none	none
5H	12_30354	50.27	none	none
5H	11_21116	50.27	none	none
5H	12_30729	50.27	none	none
5H	11_20841	50.27	none	none
5H	11_10116	50.27	none	none
5H	12_31512	50.27	none	none
5H	12_31390	50.27	none	none
5H	11_21447	50.27	none	none
5H	11_20101	50.27	none	none
5H	11_21308	50.27	none	none
5H	11_20697	50.72	none	none
5H	11_10995	51	none	none
5H	11_21011	51	none	none
5H	11_20958	51	none	none
5H	11_10240	51	none	none
5H	11_20708	51	none	none
5H	11_21040	51	none	none
5H	11_10252	51	none	none
5H	11_10177	51	none	none
5H	12_30768	51	none	none
5H	12_30792	51	none	none
5H	12_11399	51	none	none
5H	11_10318	51	none	none
5H	12_11462	51	none	none
5H	12_31317	51	none	none
5H	11_21350	51	none	none
5H	11_10157	51	none	none
5H	11_20700	51	none	none
5H	12_30337	51	none	none
5H	11_20129	51	none	none
5H	12_30709	51.3	none	none
5H	12_30575	51.3	none	none
5H	11_10058	51.3	none	none
5H	11_10481	51.3	none	none
5H	12_30728	51.3	none	none
5H	11_21260	51.6	none	none
5H	11_20332	51.6	none	none
5H	12_30193	51.6	none	none
5H	12_30717	51.6	none	none
5H	12_30109	51.6	none	none
5H	11_20179	51.6	none	none
5H	11_20396	51.6	none	none
5H	11_11506	51.6	none	none
5H	11_11128	51.6	none	none
5H	11_20737	51.6	none	none
5H	11_10661	51.6	none	none
5H	12_31259	51.6	none	none
5H	11_11469	51.6	none	none
5H	11_20524	51.6	none	none
5H	11_20461	51.6	none	none
5H	12_30408	51.6	none	none
5H	11_21215	51.6	none	none
5H	11_11260	52.02	none	none
5H	11_21318	53.18	none	none
5H	12_30214	53.9	none	none
5H	12_20059	55.34	none	none
5H	12_10508	56.77	none	none
5H	11_21536	56.77	none	none
5H	12_31117	56.77	none	none
5H	11_20239	57.36	none	none
5H	12_10079	57.98	none	none
5H	11_21148	57.98	none	none
5H	12_10264	57.98	none	none
5H	11_20105	57.98	none	none
5H	11_20306	58.7	none	none
5H	12_30747	59.4	none	none
5H	12_10899	59.4	none	none
5H	12_30644	59.4	none	none
5H	12_30538	59.4	none	none
5H	12_31183	59.4	none	none
5H	11_11240	59.4	none	none
5H	12_11151	59.4	none	none
5H	11_20283	59.4	none	none
5H	11_20961	59.4	none	none
5H	12_20981	59.4	none	none
5H	12_10034	59.4	none	none
5H	12_11512	59.4	none	none
5H	11_20501	59.4	none	none
5H	12_31340	59.4	none	none
5H	12_31451	59.4	none	none
5H	12_11363	59.4	none	none
5H	12_30700	59.4	none	none
5H	11_10840	59.4	none	none
5H	12_31503	59.4	none	none
5H	11_10671	59.4	none	none
5H	11_20372	59.4	none	none
5H	12_30111	59.4	none	none
5H	12_31062	59.4	none	none
5H	12_31064	59.4	none	none
5H	12_31280	60.74	none	none
5H	11_21200	60.74	none	none
5H	12_10725	60.74	none	none
5H	11_11221	60.74	none	none
5H	11_21508	60.74	none	none
5H	12_11385	60.74	none	none
5H	11_11159	60.74	none	none
5H	12_30515	60.74	none	none
5H	12_30011	60.74	none	none
5H	12_11089	60.74	none	none
5H	12_31032	60.74	none	none
5H	12_31033	60.74	none	none
5H	12_31034	60.74	none	none
5H	12_31035	60.74	none	none
5H	11_20265	62.15	none	none
5H	11_21344	63.31	none	none
5H	11_11281	63.31	none	none
5H	11_20441	63.31	none	none
5H	12_30745	64.04	none	none
5H	12_31477	65.49	none	none
5H	11_20713	65.49	none	none
5H	12_21036	66.32	none	none
5H	11_21275	67.54	none	none
5H	11_21121	68.35	none	none
5H	11_21239	69.34	none	none
5H	11_10641	69.9	none	none
5H	12_30080	69.9	none	none
5H	12_10203	69.9	none	none
5H	12_20278	69.9	none	none
5H	12_11438	69.9	none	none
5H	11_20392	70.48	none	none
5H	11_11249	70.48	none	none
5H	12_30007	70.48	none	none
5H	12_30966	70.48	none	none
5H	12_20350	72.29	none	none
5H	12_10548	74.06	none	none
5H	12_20297	74.78	none	none
5H	12_30719	74.78	none	none
5H	11_20367	75.4	none	none
5H	11_21001	75.4	none	none
5H	12_10953	75.4	none	none
5H	11_21309	76.3	none	none
5H	12_20818	76.42	none	none
5H	11_10183	80.02	none	none
5H	12_10634	80.61	none	none
5H	11_10127	80.61	none	none
5H	11_21133	80.61	none	none
5H	12_21128	80.61	none	none
5H	11_20236	80.61	none	none
5H	12_10633	82.76	none	none
5H	11_20096	84.51	none	none
5H	11_10167	85.21	none	none
5H	11_20246	85.21	none	none
5H	12_10140	85.21	none	none
5H	11_20736	85.93	none	none
5H	12_11515	85.93	none	none
5H	11_11355	86.63	none	none
5H	12_30314	87.35	none	none
5H	11_20645	87.35	none	none
5H	12_21186	87.35	none	none
5H	11_21445	87.35	none	none
5H	11_21480	89.38	none	none
5H	12_31427	90.84	none	none
5H	12_10674	91.56	none	none
5H	12_31361	91.56	none	none
5H	11_10524	93.71	none	none
5H	12_11106	94.43	none	none
5H	11_21150	94.43	none	none
5H	12_10930	94.43	none	none
5H	11_11290	94.43	none	none
5H	12_21497	94.43	none	none
5H	11_10578	95.08	none	none
5H	11_20497	95.78	none	none
5H	12_31271	99.56	none	none
5H	11_20526	99.56	none	none
5H	12_11134	100.28	none	none
5H	12_30533	100.28	none	none
5H	11_20097	100.28	none	none
5H	11_10518	100.28	none	none
5H	12_30834	100.28	none	none
5H	11_10771	100.28	none	none
5H	11_20449	100.28	none	none
5H	11_11473	100.28	none	none
5H	12_30182	101.71	none	none
5H	11_20850	102.06	none	none
5H	12_10408	102.06	none	none
5H	11_10622	103.01	none	none
5H	11_21421	103.72	none	none
5H	11_10414	103.92	none	none
5H	11_20327	103.92	none	none
5H	11_11350	104.5	none	none
5H	12_20403	105.22	none	none
5H	12_30098	105.22	none	none
5H	11_20018	106.09	none	none
5H	11_20134	106.16	none	none
5H	11_10024	107.59	none	none
5H	11_20549	108.01	none	none
5H	12_10844	108.18	none	none
5H	12_31417	108.18	none	none
5H	11_21314	108.18	none	none
5H	11_21321	108.18	none	none
5H	11_10834	108.18	none	none
5H	12_30850	108.18	none	none
5H	12_30854	108.18	none	none
5H	12_30855	108.18	none	none
5H	12_30847	108.18	none	none
5H	11_20320	108.18	none	none
5H	12_30852	108.18	none	none
5H	12_10077	108.18	none	none
5H	11_20795	108.63	none	none
5H	11_21168	109.56	none	none
5H	11_21061	110.26	none	none
5H	12_30705	110.26	none	none
5H	12_31236	110.26	none	none
5H	11_20805	110.26	none	none
5H	12_10507	110.26	none	none
5H	11_11273	111.68	none	none
5H	11_10477	113.11	none	none
5H	12_30056	113.11	none	none
5H	12_30456	113.11	none	none
5H	11_11341	113.83	none	none
5H	12_30619	113.83	none	none
5H	11_11200	117.47	none	none
5H	12_11245	118.77	none	none
5H	11_10094	122.38	none	none
5H	11_20629	122.38	none	none
5H	11_20637	123.08	none	none
5H	12_11298	123.33	none	none
5H	11_20127	123.52	none	none
5H	12_30524	123.52	none	none
5H	12_31278	124.23	none	none
5H	11_11507	125.81	none	none
5H	11_21422	126.53	none	none
5H	12_20045	127.24	none	none
5H	11_11456	127.96	none	none
5H	12_30377	128.69	none	none
5H	11_11024	129.41	none	none
5H	11_21325	129.41	none	none
5H	12_11535	129.41	none	none
5H	12_10228	129.41	none	none
5H	11_20653	129.41	none	none
5H	11_21203	129.41	none	none
5H	12_30611	129.41	none	none
